Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
PCK Centenary,Thrissur,Kerala,10.522940422798897,76.20624766653009,Tata Power,Public - Membership Required,CCS (Type 2),30.0
TML Hyson Motors - Tata Power,Thrissur,Kerala,10.540422993964356,76.18967782467394,Tata Power,Public - Membership Required,CCS (Type 2),25.0
TML Hyson Motors - Tata Power,Thrissur,Kerala,10.540422993964356,76.18967782467394,Tata Power,Public - Membership Required,CCS (Type 2),25.0
Hotel Gokulam Sabari - Tata Power,Guruvayur,Kerala,10.596356977075132,76.0429344292022,Tata Power,Public - Membership Required,CCS (Type 2),25.0
Hotel Gokulam Sabari - Tata Power,Guruvayur,Kerala,10.596356977075132,76.0429344292022,Tata Power,Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Shirdi,Shirdi ,Maharashtra,19.75759398843948,74.47634733215602,(Unknown Operator),Public - Pay At Location,CCS (Type 2),30.0
InFour Wheel Care And Tyres - Tata Power,Perinthalmanna,Kerala,10.960237966009913,76.23467881441366,Tata Power,Public - Membership Required,CCS (Type 2),25.0
TML KVR Automotive - Tata Power,Perinthalmanna,Kerala,10.984502724399704,76.18784701110644,Tata Power,Public - Membership Required,CCS (Type 2),30.0
IOCL Sigma Enterprises Charging Station - Tata Power,Valanchery,Kerala,10.897914194795774,76.06100966592317,Tata Power,Public - Membership Required,CCS (Type 2),30.0
AAK Mall,Tirur,Kerala,10.918580614575077,75.91779832596808,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Tata.ev Store Malappuram,Malappuram,Kerala,11.052515251663408,76.07764045262866,Tata Power,Public - Membership Required,CCS (Type 2),60.0
A M Tyres Malappuram - Tata Power,Malappuram,Kerala,11.060402531981708,76.08084415906978,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Hotel Gokulam Relax Park,Manjeri,Kerala,11.118906106281457,76.11847374415197,Tata Power,Public - Membership Required,CCS (Type 2),25.0
Hotel Gokulam Relax Park,Manjeri,Kerala,11.118906106281457,76.11847374415197,Tata Power,Public - Membership Required,Type 2 (Tethered Connector) ,7.4
One Stop Automotive Cahrging Station - Tata Power,Edavanna,Kerala,11.204146203983242,76.13673353482534,Tata Power,Public - Membership Required,CCS (Type 2),60.0
Moto Town Auto Hub - Tata Power,Wandoor,Kerala,11.223249596398574,76.216915246844,Tata Power,Public - Membership Required,CCS (Type 2),30.0
IOCL Aaditya Petroleum Naduvath Charging Station - Tata Power,Wandoor,Kerala,11.211054369500445,76.22468507295008,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Calicut Airport Charging Station - Tata Power,Kondotty,Kerala,11.140292270314333,75.94831371133864,Tata Power,Public - Membership Required,CCS (Type 2),60.0
TML Marina Motors - Tata Power,Kozhikode,Kerala,11.216965265185237,75.85795106094037,Tata Power,Public - Membership Required,CCS (Type 2),25.0
TML Marina Motors - Tata Power,Kozhikode,Kerala,11.216965265185237,75.85795106094037,Tata Power,Public - Membership Required,CCS (Type 2),25.0
Rotana Motors Meenchanda - Tata Power,Meenchanda,Kerala,11.213908526645213,75.80263211133581,Tata Power,Public - Membership Required,CCS (Type 2),30.0
IOCL Lakshmi Sales & Service - Tata Power,Kozhikode,Kerala,11.233626863224842,75.80323852757283,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Gokulam Galleria Mall - Tata Power,Kozhikode,Kerala,11.258465133509901,75.79290611849729,Tata Power,Public - Membership Required,CCS (Type 2),25.0
Gokulam Galleria Mall - Tata Power,Kozhikode,Kerala,11.258465133509901,75.79290611849729,Tata Power,Public - Membership Required,GB-T DC - GB/T 20234.3,3.3
Gokulam Galleria Mall - Tata Power,Kozhikode,Kerala,11.258465133509901,75.79290611849729,Tata Power,Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Hotel Hyson Heritage - Tata Power,Kozhikode,Kerala,11.259214498820043,75.77933452309298,Tata Power,Public - Membership Required,CCS (Type 2),25.0
Hotel Hyson Heritage - Tata Power,Kozhikode,Kerala,11.259214498820043,75.77933452309298,Tata Power,Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Taj The Gateway Hotel - Tata Power,Kozhikode,Kerala,11.25868982319139,75.77397870788238,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Taj The Gateway Hotel - Tata Power,Kozhikode,Kerala,11.259029053106843,75.77370839324391,Tata Power,"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector) ,7.4
IOCL Engapuzha Fuel - Tata Power,Engapuzha,Kerala,11.465050129739268,75.97017469880149,Tata Power,Public - Membership Required,CCS (Type 2),25.0
IOCl Balaji Petroleum - Tata Power,Sulthan Bathery,Kerala,11.660943020691448,76.24002282400443,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Hotel Saugandhika Charging Station - Tata Power,Meenangadi,Kerala,11.6593282557467,76.20718522782687,Tata Power,Public - Membership Required,CCS (Type 2),60.0
TML Marina Motors Pvt. Ltd. Kalpetta - Tata Power,Kalpetta,Kerala,11.637352766290704,76.09468538005217,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Taj Wayanad Resort and Spa- Tata Power,Padinjarathara,Kerala,11.6576333638655,75.96043177655011,Tata Power,"Private - For Staff, Visitors or Customers",CCS (Type 2),30.0
Taj Wayanad Resort and Spa- Tata Power,Padinjarathara,Kerala,11.6576333638655,75.96043177655011,Tata Power,"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector) ,7.4
KVR Dream Vehicles Thalassery - Tata Power,Thalassery,Kerala,11.761734248724949,75.50906837861191,Tata Power,Public - Membership Required,CCS (Type 2),30.0
IOCL - MK Petroleum - Tata Power,Thazhe Chovva,Kerala,11.860150179085252,75.41434121644008,Tata Power,Public - Membership Required,CCS (Type 2),30.0
KVR Dream Vehicles Service Centre - Tata Power,Iritty,Kerala,11.990685920762218,75.65802183107732,Tata Power,Public - Membership Required,CCS (Type 2),30.0
KVR Dream Vehicle - Tata Power,Nadal,Kerala,11.83285672150295,75.42644169657501,Tata Power,Public - Membership Required,CCS (Type 2),25.0
KVR Dream Vehicle - Tata Power,Nadal,Kerala,11.83285672150295,75.42644169657501,Tata Power,Public - Membership Required,CHAdeMO,25.0
Tata.ev KVR Dreams Kannur - Tata Power,Kannur ,Kerala,11.860830340847158,75.41186777793837,Tata Power,Public - Membership Required,CCS (Type 2),30.0
KVR Dream Vehicles Service Center - Tata Power,Payyanur,Kerala,12.120003262388039,75.21755451244977,Tata Power,Public - Membership Required,CCS (Type 2),30.0
V-Net Shopping Complex - Tata Power,Payyannur,Kerala,12.175048478868092,75.1934333250936,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Taj Bekkal - Tata Power,Bekkal,Kerala,12.42338327765249,75.01475480358593,Tata Power,"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector) ,7.4
TML KVR Dream Vehicles EVCS - Tata Power,Kasaragod,Kerala,12.513454412772603,75.02712293765927,Tata Power,Public - Membership Required,CCS (Type 2),30.0
IOCL Top Fuels Karanthakkad Charging Station - Tata Power,Kasaragod,Kerala,12.509407895012473,74.98611113925955,Tata Power,Public - Membership Required,CCS (Type 2),30.0
Eco Charge Hub - GO EC,Thiruvananthapuram ,Kerala,8.353208648493009,77.05379011708595,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Eco Charge Hub - GO EC,Thiruvananthapuram ,Kerala,8.353208648493009,77.05379011708595,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Rajco EVCS - GO EC,Neyyattinkara,Kerala,8.394252774929768,77.08872897393405,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Rajco EVCS - GO EC,Neyyattinkara,Kerala,8.394252774929768,77.08872897393405,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Appolo Dimora Hotel EVCS - GO EC,Thiruvananthapuram ,Kerala,8.48866100741148,76.95075167233603,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Lulu International Mall EVCS - GO EC,Thiruvananthapuram ,Kerala,8.515262881600336,76.89815843780872,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Lulu International Mall EVCS - GO EC,Thiruvananthapuram ,Kerala,8.515262881600336,76.89815843780872,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Lulu International Mall EVCS - GO EC,Thiruvananthapuram ,Kerala,8.515262881600336,76.89815843780872,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Lulu International Mall EVCS - GO EC,Thiruvananthapuram ,Kerala,8.515262881600336,76.89815843780872,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Trivandrum UST Campus EVCS - GO EC,Thiruvananthapuram ,Kerala,8.539993047929073,76.88442500297742,GO EC (IN),"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector) ,7.4
Trivandrum UST Campus EVCS - GO EC,Thiruvananthapuram ,Kerala,8.539993047929073,76.88442500297742,GO EC (IN),"Private - For Staff, Visitors or Customers",CEE 3 Pin,3.3
Karthika Residency Hotel EVCS - GO EC,Karette,Kerala,8.728845866034803,76.89844751364274,GO EC (IN),Public - Membership Required,CCS (Type 2),80.0
KKP Renewables EVCS - GO EC,Karette,Kerala,8.734523377793522,76.89801647227131,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Aeron EVCS - GO EC,Attingal,Kerala,8.686808046081069,76.82402232674082,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Aeron EVCS - GO EC,Attingal,Kerala,8.686808046081069,76.82402232674082,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Zenith EVCS - GO EC,Attingal,Kerala,8.733067658594678,76.81064655334814,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Orion Plaza EVCS - GO EC,Chadayamangalam,Kerala,8.863426989733298,76.8712078360212,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Orion Plaza EVCS - GO EC,Chadayamangalam,Kerala,8.863426989733298,76.8712078360212,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Power Up EVCS - GO EC,Varkala,Kerala,8.74908605012898,76.70581858621796,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Power Up EVCS - GO EC,Varkala,Kerala,8.74908605012898,76.70581858621796,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Green Planet EVCS - GO EC,Kottarakkara,Kerala,8.982143340998263,76.80932966421278,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Green Planet EVCS - GO EC,Kottarakkara,Kerala,8.982143340998263,76.80932966421278,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
RK EVCS - GO EC,Kundara,Kerala,8.948246626469512,76.64624714068498,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
RK EVCS - GO EC,Kundara,Kerala,8.948246626469512,76.64624714068498,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
SK EVCS - GO EC,Pathanapuram,Kerala,9.070991645604138,76.8563112284703,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
SK EVCS - GO EC,Pathanapuram,Kerala,9.070991645604138,76.8563112284703,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Erathu Motors EVCS - GO EC,Puthoor,Kerala,9.051367403391126,76.70324696297251,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Erathu Motors EVCS - GO EC,Puthoor,Kerala,9.051367403391126,76.70324696297251,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Vrindavan EVCS - GO EC,Inchakkad,Kerala,9.045128433314076,76.77360003943176,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Vrindavan EVCS - GO EC,Inchakkad,Kerala,9.045128433314076,76.77360003943176,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Vrindavan EVCS - GO EC,Inchakkad,Kerala,9.045128433314076,76.77360003943176,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
JB Power EVCS - GO EC,Adoor,Kerala,9.116847049005273,76.74511188165377,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
JB Power EVCS - GO EC,Adoor,Kerala,9.116847049005273,76.74511188165377,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Peninsula Park Residency EVCS - GO EC,Adoor,Kerala,9.145305964259492,76.76585838641842,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Green Earth - GO EC,Adoor,Kerala,9.153564153649185,76.73554436189625,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Green Earth - GO EC,Adoor,Kerala,9.153564153649185,76.73554436189625,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Sparkzone EVCS - GO EC,Kayamkulam,Kerala,9.14579459592612,76.45936322492247,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Sparkzone EVCS - GO EC,Kayamkulam,Kerala,9.14579459592612,76.45936322492247,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Zufo EVCS,Karunagappalli,Kerala,9.132307411349302,76.51385828713245,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Cartist - GO EC,Kayamkulam,Kerala,9.184739728702354,76.49029683829167,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Cartist - GO EC,Kayamkulam,Kerala,9.184739728702354,76.49029683829167,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Cartist - GO EC,Kayamkulam,Kerala,9.184739728702354,76.49029683829167,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
V Volte EVCS - GO EC,Haripad,Kerala,9.289000834095233,76.45653569251749,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
V Volte EVCS - GO EC,Haripad,Kerala,9.289000834095233,76.45653569251749,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Anjaly EVCS - GO EC,Omallor,Kerala,9.246935401622352,76.75730779092834,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Anjaly EVCS - GO EC,Omallor,Kerala,9.246935401622352,76.75730779092834,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Evergreen Continental EVCS - GO EC,Pathanamthitta,Kerala,9.26377680925411,76.7854352998848,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Quik Energy EVCS - GO EC,Chengannur,Kerala,9.311533026822985,76.62272052601361,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Quik Energy EVCS - GO EC,Chengannur,Kerala,9.311533026822985,76.62272052601361,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Quik Energy EVCS - GO EC,Chengannur,Kerala,9.311533026822985,76.62272052601361,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Amrutham Auto Care EVCS - GO EC,Chengannur,Kerala,9.342144722861462,76.59848783947041,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Amrutham Auto Care EVCS - GO EC,Chengannur,Kerala,9.342144722861462,76.59848783947041,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Changanassery Immaculate Mary EVCS,Changanassery,Kerala,9.459860217939863,76.55518358905402,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Changanassery Immaculate Mary EVCS,Changanassery,Kerala,9.459860217939863,76.55518358905402,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Calvarymount Jerry Plaza,Alliyar,Kerala,9.80694248889715,77.04794025522557,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Westgate Inn EVCS - GO EC,Kattappana,Kerala,9.747617293321468,77.10541770305377,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
GO EC Charging Station,Idukki,Kerala,9.665398819574932,77.16084695044691,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
GO EC Charging Station,Idukki,Kerala,9.665398819574932,77.16084695044691,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Sora EVCS - GO EC,Kumali,Kerala,9.614445835422885,77.15390991011253,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Sora EVCS - GO EC,Kumali,Kerala,9.614445835422885,77.15390991011253,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Open Kitchen EVCS - GO EC,Kuttikkanam,Kerala,9.580204298452543,76.97061172783384,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Open Kitchen EVCS - GO EC,Kuttikkanam,Kerala,9.580204298452543,76.97061172783384,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Nandanam EVCS - GO EC,Kodungoor,Kerala,9.56707472944133,76.70609404363415,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Clay Art Cafe - GO EC,Ponkunnam,Kerala,9.566378511526395,76.74160751395914,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Clay Art Cafe - GO EC,Ponkunnam,Kerala,9.566378511526395,76.74160751395914,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
GO Green EVCS - GO EC,Anthikkad,Kerala,9.753999722373322,76.70127896431035,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Nila's Magestic Arcade,Kidangoor,Kerala,9.683248151452077,76.60975356992105,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Ettumanur Skylight EVCS - GO EC,Ettumanoor,Kerala,9.668171829463475,76.57537881809179,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Ettumanur Skylight EVCS - GO EC,Ettumanoor,Kerala,9.668171829463475,76.57537881809179,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Chaithanya Hospital EVCS - GO EC,Kuravilangad,Kerala,9.761923840599692,76.56472253025936,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Chaithanya Hospital EVCS - GO EC,Kuravilangad,Kerala,9.761923840599692,76.56472253025936,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Manjoor Beeza Clubhouse EVCS - GO EC,Manjoor,Kerala,9.727579425560023,76.52038777302698,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Kalladanthiyil EVCS - GO EC,Neendoor,Kerala,9.68333687975506,76.50559380666749,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Kalladanthiyil EVCS - GO EC,Neendoor,Kerala,9.68333687975506,76.50559380666749,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
The Grand Ambassador EVCS,Kottayam ,Kerala,9.589399335956784,76.52633053455003,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Hotel Athira Residency EVCS - GO EC,Kottayam,Kerala,9.578258767585766,76.51947056358193,GO EC (IN),Public - Membership Required,CCS (Type 2),80.0
Cassia Regency EVCS - GO EC,Alappuzha,Kerala,9.490169816576028,76.3207371647539,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Cassia Regency EVCS - GO EC,Alappuzha,Kerala,9.490169816576028,76.3207371647539,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Neo Charge EVCS - GO EC,Alappuzha,Kerala,9.559497168686136,76.32821358891908,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Jason Orchard Inn EVCS - GO EC,Alappuzha,Kerala,9.56257506243169,76.32758403292866,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Huts Restaurant EVCS - GO EC,Cherthala,Kerala,9.683890802446342,76.3335821907994,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Huts Restaurant EVCS - GO EC,Cherthala,Kerala,9.683890802446342,76.3335821907994,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Vijaya EVCS - GO EC,Kanjiramattom,Kerala,9.851840438387285,76.3893878706051,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
MPA Tyres EVCS - GO EC,Thrippunithura,Kerala,9.962610267571378,76.35800116158748,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Central Talkies EVCS - GO EC,Thrippunithura,Kerala,9.948953177742126,76.34771091840872,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Central Talkies EVCS - GO EC,Thrippunithura,Kerala,9.948953177742126,76.34771091840872,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Central Talkies EVCS - GO EC,Thrippunithura,Kerala,9.948953177742126,76.34771091840872,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Tribute Royale EVCS - GO EC,Maradu,Kerala,9.94775835957229,76.31854611156217,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Prithvi EVCS - GO EC,Kadavanthra,Kerala,9.94745163258068,76.3034155566645,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Prithvi EVCS - GO EC,Kadavanthra,Kerala,9.94745163258068,76.3034155566645,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
EC City Centre EVCS - GO EC,Ernakulam,Kerala,9.96519449241434,76.29662321090922,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
EC City Centre EVCS - GO EC,Ernakulam,Kerala,9.96519449241434,76.29662321090922,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Monsoon Empress Hotel EVCS,Palarivattom,Kerala,9.995959579488527,76.31410217952185,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Max EVCS - GO EC,Palarivattom,Kerala,9.998499333886073,76.31386095749048,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Park Residency EVCS - GO EC,Kakkanad,Kerala,10.014658809069601,76.34240059520744,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Park Residency EVCS - GO EC,Kakkanad,Kerala,10.014658809069601,76.34240059520744,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
EVGO Hub - GO EC,Thrikkakkara,Kerala,10.035673992083431,76.33644845243788,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Daffodils EVCS - GO EC,Edapally,Kerala,10.032114506603733,76.32296046331254,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Daffodils EVCS - GO EC,Edapally,Kerala,10.032114506603733,76.32296046331254,GO EC (IN),Public - Membership Required,Type 2 (Tethered Connector) ,7.4
Daffodils EVCS - GO EC,Edapally,Kerala,10.032114506603733,76.32296046331254,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Oberon Mall EVCS - GO EC,Edapally,Kerala,10.014373315870898,76.31253274186469,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Lulu International Shopping Mall EVCS - GO EC,Edapally,Kerala,10.025852998355106,76.30847987689594,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Lulu International Shopping Mall EVCS - GO EC,Edapally,Kerala,10.025852998355106,76.30847987689594,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Lulu International Shopping Mall EVCS - GO EC,Edapally,Kerala,10.025852998355106,76.30847987689594,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
EcoPlug EVCS - GO EC,Neriyamangalam,Kerala,10.05657909163412,76.77664747363906,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Future Clock EVCS - GO EC,Perumbavoor ,Kerala,10.08987328201421,76.49767034410803,GO EC (IN),Public - Membership Required,CCS (Type 2),80.0
Future Clock EVCS - GO EC,Perumbavoor ,Kerala,10.08987328201421,76.49767034410803,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Future Clock EVCS - GO EC,Perumbavoor ,Kerala,10.08987328201421,76.49767034410803,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Prestige EV Super Charging Station - GO EC,Perumbavoor,Kerala,10.116599665826755,76.44569940523843,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Prestige EV Super Charging Station - GO EC,Perumbavoor,Kerala,10.116599665826755,76.44569940523843,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Innate Convention Centre ,Aluva,Kerala,10.134847382197862,76.35454903990177,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Athani Energize EVCS,Athani,Kerala,10.141443983212852,76.35293383093199,GO EC (IN),Public - Membership Required,CCS (Type 2),80.0
Hotel Airlink Castle - GO EC,Athani,Kerala,10.155053463306785,76.35471452974735,GO EC (IN),Public - Membership Required,CCS (Type 2),24.0
V-Green EVCS - GO EC,Angamaly,Kerala,10.20178008680135,76.40966162425627,GO EC (IN),Public - Membership Required,CCS (Type 2),80.0
Gopika EV Charging Station - GO EC,Varappuzha,Kerala,10.087291499865685,76.26789062743649,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Power Zone EV Charging Station - GO EC,North Paravur,Kerala,10.149673029849538,76.21756419275295,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Koratty Chennai Anandabhavan EVCS - GO EC,Koratty,Kerala,10.277244588754584,76.34452807905916,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Parekkat's EVCS - GO EC,Mala,Kerala,10.24066911823239,76.27252885130724,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Kodungallur SVS - GO EC,Kodungallur,Kerala,10.21129204884221,76.1989886692013,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0
Kodungallur SVS - GO EC,Kodungallur,Kerala,10.21129204884221,76.1989886692013,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
FUZO EV Super Charging Station,Kodungallur,Kerala,10.378135160727652,76.12254539101707,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
FUZO EV Super Charging Station,Kodungallur,Kerala,10.378135160727652,76.12254539101707,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Sree Rama EVCS - GO EC,Thrissur,Kerala,10.435594973940098,76.26587468424111,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0
Sree Rama EVCS - GO EC,Thrissur,Kerala,10.435594973940098,76.26587468424111,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
Sree Rama EVCS - GO EC,Thrissur,Kerala,10.435594973940098,76.26587468424111,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Daiz and Co. EVCS - GO EC,Thrissur,Kerala,10.526149574968883,76.18795462415846,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0
