Year,State,City,Population
2025,Kerala,Kollam,1415064
2021,Madhya Pradesh,Indore,998143
2022,Madhya Pradesh,Indore,1011013
2023,Madhya Pradesh,Indore,1028371
2024,Madhya Pradesh,Indore,1046612
2025,Madhya Pradesh,Indore,1062468
2021,Madhya Pradesh,Bhopal,1437601
2022,Madhya Pradesh,Bhopal,1456487
2023,Madhya Pradesh,Bhopal,1484836
2024,Madhya Pradesh,Bhopal,1513478
2025,Madhya Pradesh,Bhopal,1535253
2021,Madhya Pradesh,Jabalpur,1127714
2022,Madhya Pradesh,Jabalpur,1150195
2023,Madhya Pradesh,Jabalpur,1166106
2024,Madhya Pradesh,Jabalpur,1191719
2025,Madhya Pradesh,Jabalpur,1210589
2021,Madhya Pradesh,Gwalior,145806
2022,Madhya Pradesh,Gwalior,148582
2023,Madhya Pradesh,Gwalior,151538
2024,Madhya Pradesh,Gwalior,153094
2025,Madhya Pradesh,Gwalior,155159
2021,Madhya Pradesh,Ujjain,476649
2022,Madhya Pradesh,Ujjain,483271
2023,Madhya Pradesh,Ujjain,488853
2024,Madhya Pradesh,Ujjain,496690
2025,Madhya Pradesh,Ujjain,500996
2021,Maharashtra,Mumbai,12400000
2022,Maharashtra,Mumbai,12525785
2023,Maharashtra,Mumbai,12653050
2024,Maharashtra,Mumbai,12821029
2025,Maharashtra,Mumbai,12989855
2021,Maharashtra,Pune,3900000
2022,Maharashtra,Pune,3951836
2023,Maharashtra,Pune,3997049
2024,Maharashtra,Pune,4030974
2025,Maharashtra,Pune,4106677
2021,Maharashtra,Nagpur,597263
2022,Maharashtra,Nagpur,604977
2023,Maharashtra,Nagpur,611643
2024,Maharashtra,Nagpur,617079
2025,Maharashtra,Nagpur,625924
2021,Maharashtra,Nashik,946453
2022,Maharashtra,Nashik,961664
2023,Maharashtra,Nashik,969362
2024,Maharashtra,Nashik,989708
2025,Maharashtra,Nashik,1006113
2021,Maharashtra,Chhatrapati Sambhajinagar,956718
2022,Maharashtra,Chhatrapati Sambhajinagar,974947
2023,Maharashtra,Chhatrapati Sambhajinagar,994827
2024,Maharashtra,Chhatrapati Sambhajinagar,1009120
2025,Maharashtra,Chhatrapati Sambhajinagar,1027392
2021,Manipur,Imphal,821933
2022,Manipur,Imphal,837047
2023,Manipur,Imphal,850703
2024,Manipur,Imphal,858339
2025,Manipur,Imphal,866855
2021,Manipur,Thoubal,523636
2022,Manipur,Thoubal,533236
2023,Manipur,Thoubal,544175
2024,Manipur,Thoubal,552785
2025,Manipur,Thoubal,562257
2021,Manipur,Bishnupur,349081
2022,Manipur,Bishnupur,356558
2023,Manipur,Bishnupur,359991
2024,Manipur,Bishnupur,364927
2025,Manipur,Bishnupur,368867
2021,Meghalaya,Shillong,2259374
2022,Meghalaya,Shillong,2293015
2023,Meghalaya,Shillong,2342627
2024,Meghalaya,Shillong,2371050
2025,Meghalaya,Shillong,2406292
2021,Meghalaya,Tura,638896
2022,Meghalaya,Tura,649352
2023,Meghalaya,Tura,663523
2024,Meghalaya,Tura,672875
2025,Meghalaya,Tura,683443
2021,Meghalaya,Jowai,756144
2022,Meghalaya,Jowai,762356
2023,Meghalaya,Jowai,768467
2024,Meghalaya,Jowai,783803
2025,Meghalaya,Jowai,798955
2021,Mizoram,Aizawl,1298424
2022,Mizoram,Aizawl,1322164
2023,Mizoram,Aizawl,1339028
2024,Mizoram,Aizawl,1362510
2025,Mizoram,Aizawl,1373739
2021,Mizoram,Lunglei,1127060
2022,Mizoram,Lunglei,1147284
2023,Mizoram,Lunglei,1164136
2024,Mizoram,Lunglei,1174592
2025,Mizoram,Lunglei,1185705
2021,Mizoram,Champhai,1442804
2022,Mizoram,Champhai,1459766
2023,Mizoram,Champhai,1472478
2024,Mizoram,Champhai,1484399
2025,Mizoram,Champhai,1505277
2021,Nagaland,Kohima,2498751
2022,Nagaland,Kohima,2546565
2023,Nagaland,Kohima,2598029
2024,Nagaland,Kohima,2642355
2025,Nagaland,Kohima,2690820
2021,Nagaland,Dimapur,222526
2022,Nagaland,Dimapur,225113
2023,Nagaland,Dimapur,227751
2024,Nagaland,Dimapur,231059
2025,Nagaland,Dimapur,234516
2021,Nagaland,Mokokchung,920982
2022,Nagaland,Mokokchung,938921
2023,Nagaland,Mokokchung,950247
2024,Nagaland,Mokokchung,969109
2025,Nagaland,Mokokchung,984620
2021,Odisha,Bhubaneswar,1725082
2022,Odisha,Bhubaneswar,1760280
2023,Odisha,Bhubaneswar,1785720
2024,Odisha,Bhubaneswar,1811002
2025,Odisha,Bhubaneswar,1837658
2021,Odisha,Cuttack,1181832
2022,Odisha,Cuttack,1205290
2023,Odisha,Cuttack,1226593
2024,Odisha,Cuttack,1239071
2025,Odisha,Cuttack,1255446
2021,Odisha,Rourkela,1251435
2022,Odisha,Rourkela,1263536
2023,Odisha,Rourkela,1287961
2024,Odisha,Rourkela,1316013
2025,Odisha,Rourkela,1334796
2021,Odisha,Sambalpur,1309071
2022,Odisha,Sambalpur,1323661
2023,Odisha,Sambalpur,1351956
2024,Odisha,Sambalpur,1378971
2025,Odisha,Sambalpur,1395967
2021,Punjab,Ludhiana,1487386
2022,Punjab,Ludhiana,1519347
2023,Punjab,Ludhiana,1539755
2024,Punjab,Ludhiana,1563857
2025,Punjab,Ludhiana,1587331
2021,Punjab,Amritsar,497751
2022,Punjab,Amritsar,508581
2023,Punjab,Amritsar,514267
2024,Punjab,Amritsar,523746
2025,Punjab,Amritsar,532174
2021,Punjab,Jalandhar,334041
2022,Punjab,Jalandhar,337101
2023,Punjab,Jalandhar,344028
2024,Punjab,Jalandhar,350190
2025,Punjab,Jalandhar,353376
2021,Punjab,Patiala,404966
2022,Punjab,Patiala,409857
2023,Punjab,Patiala,413370
2024,Punjab,Patiala,417887
2025,Punjab,Patiala,426829
2021,Rajasthan,Jaipur,711560
2022,Rajasthan,Jaipur,723403
2023,Rajasthan,Jaipur,737905
2024,Rajasthan,Jaipur,750604
2025,Rajasthan,Jaipur,757174
2021,Rajasthan,Jodhpur,877257
2022,Rajasthan,Jodhpur,890649
2023,Rajasthan,Jodhpur,898911
2024,Rajasthan,Jodhpur,913690
2025,Rajasthan,Jodhpur,924242
2021,Rajasthan,Udaipur,1182547
2022,Rajasthan,Udaipur,1192900
2023,Rajasthan,Udaipur,1204831
2024,Rajasthan,Udaipur,1214650
2025,Rajasthan,Udaipur,1225328
2021,Rajasthan,Kota,720983
2022,Rajasthan,Kota,734761
2023,Rajasthan,Kota,743899
2024,Rajasthan,Kota,755807
2025,Rajasthan,Kota,768357
2021,Rajasthan,Ajmer,348596
2022,Rajasthan,Ajmer,354832
2023,Rajasthan,Ajmer,358186
2024,Rajasthan,Ajmer,365738
2025,Rajasthan,Ajmer,373406
2021,Sikkim,Gangtok,2102810
2022,Sikkim,Gangtok,2129198
2023,Sikkim,Gangtok,2156081
2024,Sikkim,Gangtok,2181667
2025,Sikkim,Gangtok,2215905
2021,Sikkim,Namchi,1066862
2022,Sikkim,Namchi,1079899
2023,Sikkim,Namchi,1097269
2024,Sikkim,Namchi,1110647
2025,Sikkim,Namchi,1125202
2021,Sikkim,Gyalshing,445534
2022,Sikkim,Gyalshing,449101
2023,Sikkim,Gyalshing,457673
2024,Sikkim,Gyalshing,466040
2025,Sikkim,Gyalshing,474646
2021,Tamil Nadu,Chennai,7000000
2022,Tamil Nadu,Chennai,7086089
2023,Tamil Nadu,Chennai,7217093
2024,Tamil Nadu,Chennai,7298163
2025,Tamil Nadu,Chennai,7367327
2021,Tamil Nadu,Coimbatore,963488
2022,Tamil Nadu,Coimbatore,971203
2023,Tamil Nadu,Coimbatore,987015
2024,Tamil Nadu,Coimbatore,996544
2025,Tamil Nadu,Coimbatore,1011389
2021,Tamil Nadu,Madurai,1399427
2022,Tamil Nadu,Madurai,1429665
2023,Tamil Nadu,Madurai,1449060
2024,Tamil Nadu,Madurai,1465902
2025,Tamil Nadu,Madurai,1483550
2021,Tamil Nadu,Salem,1287474
2022,Tamil Nadu,Salem,1305833
2023,Tamil Nadu,Salem,1329083
2024,Tamil Nadu,Salem,1341999
2025,Tamil Nadu,Salem,1364620
2021,Tamil Nadu,Tiruchirappalli,230074
2022,Tamil Nadu,Tiruchirappalli,235030
2023,Tamil Nadu,Tiruchirappalli,239493
2024,Tamil Nadu,Tiruchirappalli,243825
2025,Tamil Nadu,Tiruchirappalli,247918
2021,Telangana,Hyderabad,6800000
2022,Telangana,Hyderabad,6884695
2023,Telangana,Hyderabad,6996421
2024,Telangana,Hyderabad,7106846
2025,Telangana,Hyderabad,7177965
2021,Telangana,Warangal,1012062
2022,Telangana,Warangal,1033452
2023,Telangana,Warangal,1043445
2024,Telangana,Warangal,1053210
2025,Telangana,Warangal,1073053
2021,Telangana,Karimnagar,635397
2022,Telangana,Karimnagar,643620
2023,Telangana,Karimnagar,656345
2024,Telangana,Karimnagar,667333
2025,Telangana,Karimnagar,681781
2021,Telangana,Nizamabad,1467225
2022,Telangana,Nizamabad,1479825
2023,Telangana,Nizamabad,1496186
2024,Telangana,Nizamabad,1527543
2025,Telangana,Nizamabad,1540999
2021,Telangana,Khammam,290219
2022,Telangana,Khammam,294317
2023,Telangana,Khammam,297736
2024,Telangana,Khammam,302704
2025,Telangana,Khammam,308917
2021,Tripura,Agartala,1889147
2022,Tripura,Agartala,1909081
2023,Tripura,Agartala,1947536
2024,Tripura,Agartala,1971181
2025,Tripura,Agartala,2004932
2021,Tripura,Udaipur,363871
2022,Tripura,Udaipur,367612
2023,Tripura,Udaipur,373320
2024,Tripura,Udaipur,377424
2025,Tripura,Udaipur,384603
2021,Tripura,Dharmanagar,783255
2022,Tripura,Dharmanagar,798756
2023,Tripura,Dharmanagar,815554
2024,Tripura,Dharmanagar,827371
2025,Tripura,Dharmanagar,837955
2021,Uttar Pradesh,Lucknow,3200000
2022,Uttar Pradesh,Lucknow,3246276
2023,Uttar Pradesh,Lucknow,3278087
2024,Uttar Pradesh,Lucknow,3322223
2025,Uttar Pradesh,Lucknow,3354151
2021,Uttar Pradesh,Kanpur,1215796
2022,Uttar Pradesh,Kanpur,1237811
2023,Uttar Pradesh,Kanpur,1260829
2024,Uttar Pradesh,Kanpur,1279073
2025,Uttar Pradesh,Kanpur,1301522
2021,Uttar Pradesh,Agra,438215
2022,Uttar Pradesh,Agra,444720
2023,Uttar Pradesh,Agra,452607
2024,Uttar Pradesh,Agra,458766
2025,Uttar Pradesh,Agra,466391
2021,Uttar Pradesh,Varanasi,942067
2022,Uttar Pradesh,Varanasi,949981
2023,Uttar Pradesh,Varanasi,968753
2024,Uttar Pradesh,Varanasi,989740
2025,Uttar Pradesh,Varanasi,1005754
2021,Uttar Pradesh,Prayagraj,1455231
2022,Uttar Pradesh,Prayagraj,1469139
2023,Uttar Pradesh,Prayagraj,1497391
2024,Uttar Pradesh,Prayagraj,1514658
2025,Uttar Pradesh,Prayagraj,1536390
2021,Uttarakhand,Dehradun,2212493
2022,Uttarakhand,Dehradun,2244130
2023,Uttarakhand,Dehradun,2268553
2024,Uttarakhand,Dehradun,2311250
2025,Uttarakhand,Dehradun,2350692
2021,Uttarakhand,Haridwar,141993
2022,Uttarakhand,Haridwar,143619
2023,Uttarakhand,Haridwar,146648
2024,Uttarakhand,Haridwar,149167
2025,Uttarakhand,Haridwar,151094
2021,Uttarakhand,Haldwani,705573
2022,Uttarakhand,Haldwani,714743
2023,Uttarakhand,Haldwani,724583
2024,Uttarakhand,Haldwani,738168
2025,Uttarakhand,Haldwani,754260
2021,Uttarakhand,Roorkee,903526
2022,Uttarakhand,Roorkee,918276
2023,Uttarakhand,Roorkee,928763
2024,Uttarakhand,Roorkee,948506
2025,Uttarakhand,Roorkee,962555
2021,West Bengal,Kolkata,4500000
2022,West Bengal,Kolkata,4551166
2023,West Bengal,Kolkata,4625256
2024,West Bengal,Kolkata,4677985
2025,West Bengal,Kolkata,4719414
2021,West Bengal,Howrah,755673
2022,West Bengal,Howrah,764866
2023,West Bengal,Howrah,779812
2024,West Bengal,Howrah,795180
2025,West Bengal,Howrah,808566
2021,West Bengal,Siliguri,527336
2022,West Bengal,Siliguri,534281
2023,West Bengal,Siliguri,538695
2024,West Bengal,Siliguri,546869
2025,West Bengal,Siliguri,554774
2021,West Bengal,Durgapur,1456389
2022,West Bengal,Durgapur,1469155
2023,West Bengal,Durgapur,1485523
2024,West Bengal,Durgapur,1501977
2025,West Bengal,Durgapur,1520903
2021,West Bengal,Asansol,724841
2022,West Bengal,Asansol,737275
2023,West Bengal,Asansol,743637
2024,West Bengal,Asansol,758747
2025,West Bengal,Asansol,768089
