Station_ID,Year,Month,Avg_Daily_Users,Peak_Hour_Users,Avg_Wait_Time_Min,Avg_Charging_Time_Min,Queue_Length,Energy_Delivered_kWh,Utilization_%,Fault_Count,Downtime_Hours,Revenue_INR,Customer_Rating,Sessions,Completed_Sessions,Cancelled_Sessions,Demand_Level
St0001,2024,January,256,89,23,42,7,192000,89.4,0,0,2496000,4.7,6400,6302,98,High
St0001,2024,February,415,145,16,41,7,236550,72.2,0,0,3784800,3.9,12450,12080,370,Medium
St0001,2024,March,315,110,14,54,4,238140,65.2,1,5,3572100,4.2,8505,8357,148,Medium
St0001,2024,April,378,132,12,42,6,275184,57.6,2,10,3852576,4.5,10584,10390,194,Low
St0001,2024,May,242,84,13,49,6,205700,65.2,3,9,3085500,4.6,6050,5859,191,Medium
St0001,2024,June,446,156,21,54,5,245300,93.2,4,16,3434200,4.6,11150,10930,220,High
St0001,2024,July,378,132,17,34,6,308448,61.7,0,0,4009824,4.3,9072,8791,281,Medium
St0001,2024,August,414,144,18,38,7,258750,84.5,1,2,2587500,4.7,10350,10236,114,High
St0001,2024,September,196,68,17,36,7,117208,81.4,0,0,1054872,4.9,5096,4922,174,High
St0001,2024,October,429,150,18,39,7,266409,65.2,1,3,3463317,4.0,11583,11427,156,Medium
St0001,2024,November,416,145,16,54,4,218400,76.9,4,16,3494400,3.6,10400,10304,96,Medium
St0001,2024,December,258,90,23,37,6,216978,81.5,2,2,2820714,4.6,7482,7246,236,High
St0001,2025,January,457,159,22,55,7,237640,92.2,3,12,2614040,4.1,11882,11762,120,High
St0001,2025,February,354,123,22,40,5,300900,74.4,3,3,2708100,4.5,8850,8763,87,Medium
St0001,2025,March,506,177,19,33,4,315744,72.6,3,15,3788928,4.0,12144,11698,446,Medium
St0001,2025,April,312,109,11,37,2,271440,58.2,2,6,4343040,4.0,9048,8909,139,Low
St0001,2025,May,294,102,24,35,8,264600,86.7,1,4,2910600,4.7,8820,8716,104,High
St0001,2025,June,394,137,20,54,8,184392,77.6,4,20,1659528,4.2,10244,10167,77,Medium
St0001,2025,July,403,141,18,46,7,359073,63.6,2,10,3590730,3.9,10881,10681,200,Medium
St0001,2025,August,377,131,17,35,7,306124,64.7,1,2,3061240,4.6,10933,10836,97,Medium
St0001,2025,September,266,93,16,34,4,179816,63.6,4,20,1618344,3.6,6916,6824,92,Medium
St0001,2025,October,398,139,15,50,4,181488,63.3,1,3,2359344,4.4,9552,9191,361,Medium
St0001,2025,November,286,100,17,54,4,162162,62.4,4,20,1945944,4.3,7722,7507,215,Medium
St0001,2025,December,254,88,17,43,5,228600,81.1,0,0,2057400,4.3,6350,6175,175,High
St0002,2021,January,107,37,18,51,4,50076,59.6,4,12,550836,4.2,2782,2725,57,Low
St0002,2021,February,173,60,20,55,6,93420,65.8,2,2,840780,4.2,4671,4612,59,Medium
St0002,2021,March,95,33,13,52,4,71250,58.0,2,2,783750,4.3,2375,2351,24,Low
St0002,2021,April,172,60,13,44,4,144480,52.5,2,6,1300320,4.1,5160,4961,199,Low
St0002,2021,May,178,62,19,54,6,104664,63.5,4,4,1046640,3.5,4984,4955,29,Medium
St0002,2021,June,136,47,15,40,3,91800,78.0,2,10,826200,3.7,3672,3539,133,Medium
St0002,2021,July,133,46,22,52,7,78204,80.1,2,2,1094856,3.9,3724,3648,76,High
St0002,2021,August,93,32,17,44,5,50220,58.1,4,12,552420,4.0,2511,2413,98,Low
St0002,2021,September,169,59,19,32,5,106470,83.6,3,9,1171170,4.0,5070,5028,42,High
St0002,2021,October,170,59,17,42,5,144500,49.2,1,3,2023000,4.6,4250,4085,165,Low
St0002,2021,November,177,61,10,49,4,148680,51.5,1,1,2081520,4.1,4248,4126,122,Low
St0002,2021,December,193,67,16,52,5,111168,63.6,1,4,1778688,3.8,4632,4453,179,Medium
St0002,2022,January,126,44,14,33,3,76734,54.5,0,0,690606,4.9,3654,3598,56,Low
St0002,2022,February,133,46,18,52,5,138852,69.7,3,12,1388520,4.4,3857,3807,50,Medium
St0002,2022,March,144,50,20,37,6,79344,79.1,3,9,1110816,4.1,4176,4035,141,Medium
St0002,2022,April,122,42,15,38,5,69784,66.7,2,10,837408,3.7,3172,3130,42,Medium
St0002,2022,May,188,65,16,48,7,101520,65.9,3,6,1015200,4.0,5640,5606,34,Medium
St0002,2022,June,162,56,16,34,7,105300,51.1,2,2,1053000,4.7,4212,4045,167,Low
St0002,2022,July,186,65,18,52,4,124992,56.8,4,16,1749888,4.1,5208,5161,47,Low
St0002,2022,August,137,47,21,50,8,110970,81.0,1,1,1331640,3.9,3699,3640,59,High
St0002,2022,September,232,81,14,31,5,175392,55.4,3,15,2455488,4.3,6496,6430,66,Low
St0002,2022,October,226,79,20,32,5,163850,63.5,4,8,2130050,3.5,6554,6305,249,Medium
St0002,2022,November,137,47,21,54,6,119190,68.8,4,4,1787850,3.8,3973,3839,134,Medium
St0002,2022,December,252,88,17,46,4,204120,73.8,1,1,2041200,4.5,7560,7362,198,Medium
St0002,2023,January,116,40,16,51,6,76560,79.0,1,4,1224960,4.0,3480,3436,44,Medium
St0002,2023,February,142,49,10,44,5,102950,54.4,1,5,1338350,4.4,4118,4074,44,Low
St0002,2023,March,267,93,22,40,7,186900,83.3,4,12,2055900,3.7,6675,6439,236,High
St0002,2023,April,176,61,21,32,8,139392,71.2,2,2,1951488,4.3,4224,4057,167,Medium
St0002,2023,May,234,81,16,45,6,161460,70.8,3,12,2260440,4.2,7020,6834,186,Medium
St0002,2023,June,120,42,22,50,8,79200,71.6,4,4,950400,3.8,3600,3470,130,Medium
St0002,2023,July,264,92,10,42,3,211200,51.7,3,3,3168000,4.3,6600,6467,133,Low
St0002,2023,August,214,74,14,55,3,183612,72.1,1,5,2019732,4.0,5564,5369,195,Medium
St0002,2023,September,129,45,18,43,7,68628,66.4,4,16,823536,4.3,3612,3556,56,Medium
St0002,2023,October,162,56,18,39,6,97200,51.5,1,3,1360800,4.1,4050,3939,111,Low
St0002,2023,November,157,54,11,36,2,125600,52.6,4,16,1256000,3.9,3925,3778,147,Low
St0002,2023,December,224,78,16,38,4,198016,52.6,0,0,2178176,4.2,5824,5771,53,Low
St0002,2024,January,223,78,16,32,4,118636,81.7,1,4,1660904,3.9,6244,6106,138,High
St0002,2024,February,278,97,15,54,6,264656,64.2,1,2,2911216,3.9,7784,7553,231,Medium
St0002,2024,March,154,53,13,46,5,103488,56.8,2,2,1552320,4.1,4312,4247,65,Low
St0002,2024,April,292,102,12,46,4,181332,59.3,4,20,2538648,3.6,7884,7573,311,Low
St0002,2024,May,172,60,21,53,6,110768,80.7,0,0,1550752,4.5,4816,4693,123,High
St0002,2024,June,193,67,21,42,5,134328,75.9,3,12,1880592,4.2,4632,4597,35,Medium
St0002,2024,July,207,72,15,41,6,186300,58.3,1,1,2049300,4.6,5175,5061,114,Low
St0002,2024,August,253,88,19,54,5,221375,64.3,1,3,2435125,4.4,6325,6158,167,Medium
St0002,2024,September,160,56,18,49,7,116640,81.6,4,4,1866240,4.4,4320,4185,135,High
St0002,2024,October,191,66,14,43,3,123004,54.6,1,1,1230040,4.5,5348,5167,181,Low
St0002,2024,November,265,92,23,50,7,230020,81.2,4,8,3680320,3.9,7420,7361,59,High
St0002,2024,December,155,54,21,30,5,79515,93.7,2,2,1113210,3.9,4185,4087,98,High
St0002,2025,January,323,113,16,55,7,162792,67.5,4,12,2604672,4.2,9044,8730,314,Medium
St0002,2025,February,231,80,23,51,5,162162,93.8,4,4,1945944,4.4,6237,6079,158,High
St0002,2025,March,329,115,24,52,8,165816,91.0,2,4,1823976,3.9,7896,7750,146,High
St0002,2025,April,295,103,15,54,4,194700,59.8,0,0,2531100,4.1,8850,8800,50,Low
St0002,2025,May,346,121,17,38,5,301020,89.7,4,8,3010200,3.8,10380,9984,396,High
St0002,2025,June,207,72,17,45,5,128547,72.4,4,8,1285470,3.8,5589,5411,178,Medium
St0002,2025,July,163,57,17,52,6,113448,79.9,1,4,1815168,4.1,3912,3762,150,Medium
St0002,2025,August,277,96,20,53,8,182820,93.7,0,0,1645380,4.2,8310,8196,114,High
St0002,2025,September,356,124,20,42,6,185832,79.3,4,12,2044152,3.5,10324,10164,160,Medium
St0002,2025,October,323,113,22,40,5,348840,74.8,0,0,5581440,4.4,9690,9548,142,Medium
St0002,2025,November,281,98,17,38,6,196700,82.8,3,6,1770300,3.6,7025,6819,206,High
St0002,2025,December,238,83,14,33,5,114240,71.1,1,3,1028160,4.8,5712,5561,151,Medium
St0003,2021,January,110,38,15,34,4,92400,48.6,3,9,831600,3.8,2640,2565,75,Low
St0003,2021,February,130,45,13,48,4,136500,50.4,3,12,1228500,4.5,3900,3747,153,Low
St0003,2021,March,142,49,19,53,6,84348,79.1,0,0,1180872,3.8,3834,3707,127,Medium
St0003,2021,April,107,37,18,40,5,83781,71.7,4,20,754029,4.4,2889,2873,16,Medium
St0003,2021,May,155,54,18,51,6,82460,58.4,0,0,989520,4.1,4340,4261,79,Low
St0003,2021,June,145,50,12,32,5,129195,49.0,0,0,1291950,4.3,3915,3759,156,Low
St0003,2021,July,109,38,17,44,6,65400,72.6,4,8,588600,4.3,2616,2553,63,Medium
St0003,2021,August,114,39,19,44,6,96900,60.5,1,1,969000,4.3,2850,2766,84,Medium
St0003,2021,September,126,44,14,44,6,80388,56.5,0,0,1286208,4.1,3654,3524,130,Low
St0003,2021,October,177,61,22,47,8,168504,82.7,4,20,1853544,4.2,4956,4843,113,High
St0003,2021,November,105,36,19,50,5,94500,62.4,0,0,1323000,4.2,2625,2577,48,Medium
St0003,2021,December,115,40,13,39,3,98670,69.4,3,6,888030,3.7,2990,2966,24,Medium
St0003,2022,January,164,57,17,31,5,140712,48.2,0,0,1969968,4.1,4264,4191,73,Low
St0003,2022,February,103,36,14,30,4,72100,73.7,4,4,793100,3.6,2884,2800,84,Medium
St0003,2022,March,150,52,20,32,5,103500,87.8,3,12,931500,4.1,4500,4398,102,High
St0003,2022,April,177,61,14,40,4,118059,54.1,2,8,1298649,4.0,5133,5064,69,Low
St0003,2022,May,149,52,13,34,3,146914,54.1,0,0,1762968,3.9,4321,4177,144,Low
St0003,2022,June,97,33,11,45,2,66930,50.3,1,1,803160,4.0,2910,2893,17,Low
St0003,2022,July,146,51,17,48,4,106288,79.5,0,0,956592,4.9,3796,3669,127,Medium
St0003,2022,August,194,67,19,40,6,116012,64.4,2,6,1856192,4.0,5044,4978,66,Medium
St0003,2022,September,165,57,14,55,3,81510,59.3,2,6,1222650,3.9,4290,4216,74,Low
St0003,2022,October,163,57,15,50,4,132030,60.5,0,0,1188270,4.3,4401,4243,158,Medium
St0003,2022,November,129,45,22,32,5,103200,74.9,2,8,1032000,4.0,3225,3147,78,Medium
St0003,2022,December,227,79,17,53,7,217239,65.0,1,3,1955151,4.6,6583,6465,118,Medium
St0003,2023,January,192,67,18,41,5,144000,88.2,1,5,2304000,4.7,5760,5534,226,High
St0003,2023,February,184,64,23,43,6,158976,86.1,0,0,2384640,4.6,4968,4787,181,High
St0003,2023,March,136,47,18,45,4,70992,66.7,1,2,1135872,4.6,3944,3869,75,Medium
St0003,2023,April,196,68,21,40,5,107016,81.6,2,4,1605240,3.7,5096,4913,183,High
St0003,2023,May,167,58,14,30,3,72144,63.7,2,8,793584,3.7,4008,3977,31,Medium
St0003,2023,June,161,56,16,47,6,154560,72.6,1,4,2163840,3.8,4830,4745,85,Medium
St0003,2023,July,107,37,17,43,4,92876,58.2,4,8,928760,3.6,2996,2952,44,Low
St0003,2023,August,143,50,16,42,5,76076,82.4,1,1,988988,4.5,4004,3914,90,High
St0003,2023,September,168,58,15,35,6,133056,65.2,2,6,1197504,3.9,4032,3979,53,Medium
St0003,2023,October,170,59,20,54,8,154700,71.7,2,10,1856400,4.2,4420,4274,146,Medium
St0003,2023,November,263,92,13,54,6,225654,56.2,1,4,2933502,4.0,6838,6632,206,Low
St0003,2023,December,143,50,19,47,7,120120,57.2,4,12,1681680,4.4,4290,4232,58,Low
St0003,2024,January,214,74,13,33,3,131824,54.9,0,0,1713712,4.5,5992,5913,79,Low
St0003,2024,February,244,85,16,41,6,228384,84.6,4,4,2055456,4.2,6344,6232,112,High
St0003,2024,March,277,96,18,55,6,232680,93.6,1,5,3024840,3.9,8310,8226,84,High
St0003,2024,April,179,62,21,30,8,85025,76.2,2,4,935275,4.1,4475,4403,72,Medium
St0003,2024,May,263,92,21,39,8,220920,82.9,1,2,2209200,3.9,7890,7701,189,High
St0003,2024,June,143,50,20,48,6,114400,80.4,1,2,1372800,4.7,3575,3503,72,High
St0003,2024,July,270,94,13,35,5,168750,66.6,2,8,1856250,3.7,6750,6653,97,Medium
St0003,2024,August,224,78,17,43,4,140000,84.9,0,0,1680000,4.3,5600,5448,152,High
St0003,2024,September,193,67,12,45,6,99009,57.5,3,3,1386126,3.9,5211,5045,166,Low
St0003,2024,October,247,86,16,53,6,124488,62.3,0,0,1369368,4.4,5928,5711,217,Medium
St0003,2024,November,312,109,15,34,6,185328,78.8,0,0,2038608,4.8,8424,8371,53,Medium
St0003,2024,December,192,67,23,49,5,152064,83.7,4,8,1824768,4.1,4608,4578,30,High
St0003,2025,January,285,99,20,35,7,148770,75.6,0,0,1338930,4.1,8265,8149,116,Medium
St0003,2025,February,277,96,16,50,5,230464,57.9,2,10,2535104,4.6,7202,7067,135,Low
St0003,2025,March,231,80,19,30,5,132132,92.7,2,2,2114112,4.2,6006,5920,86,High
St0003,2025,April,238,83,22,55,6,178500,84.7,4,12,2677500,3.7,7140,6856,284,High
St0003,2025,May,249,87,16,33,5,238293,64.3,2,10,3812688,4.5,7221,7138,83,Medium
St0003,2025,June,288,100,20,35,8,193536,75.2,3,12,3096576,4.5,6912,6854,58,Medium
St0003,2025,July,303,106,16,32,7,261792,70.1,0,0,2879712,4.0,8181,7990,191,Medium
St0003,2025,August,236,82,17,42,4,123192,65.8,3,6,1847880,3.6,6844,6645,199,Medium
St0003,2025,September,256,89,17,33,4,141312,81.7,0,0,1271808,4.2,6144,6058,86,High
St0003,2025,October,286,100,21,46,6,260260,65.0,1,4,2862860,4.4,7436,7269,167,Medium
St0003,2025,November,222,77,21,50,7,155400,85.6,1,4,1709400,4.1,6216,6016,200,High
St0003,2025,December,228,79,15,37,5,136800,61.2,0,0,2052000,4.9,6840,6638,202,Medium
St0004,2021,January,89,31,18,52,6,84728,65.7,1,2,1270920,3.9,2492,2459,33,Medium
St0004,2021,February,138,48,11,38,5,72036,48.0,2,10,648324,4.0,4002,3955,47,Low
St0004,2021,March,112,39,9,51,5,96768,46.1,2,4,1064448,4.4,2688,2601,87,Low
St0004,2021,April,136,47,21,45,7,130560,80.3,0,0,1697280,3.9,4080,3987,93,High
St0004,2021,May,111,38,18,52,6,109890,71.9,2,4,1098900,4.0,3330,3275,55,Medium
St0004,2021,June,113,39,15,50,5,56952,56.7,1,1,797328,4.4,3164,3133,31,Low
St0004,2021,July,163,57,17,55,6,105950,57.6,0,0,1059500,4.0,4238,4091,147,Low
St0004,2021,August,79,27,13,36,5,39026,55.8,3,12,507338,4.0,2054,1998,56,Low
St0004,2021,September,72,25,15,52,5,48600,63.0,1,2,680400,4.4,1800,1777,23,Medium
St0004,2021,October,146,51,21,47,7,106288,66.1,0,0,1169168,4.0,3796,3675,121,Medium
St0004,2021,November,183,64,23,37,5,163968,83.4,1,5,1475712,3.9,5124,5078,46,High
St0004,2021,December,155,54,18,54,7,94395,67.0,2,4,849555,4.4,4495,4331,164,Medium
St0004,2022,January,169,59,21,34,8,159705,79.4,0,0,1756755,4.7,4563,4530,33,Medium
St0004,2022,February,176,61,20,41,5,105600,71.7,2,8,1478400,4.1,4224,4170,54,Medium
St0004,2022,March,102,35,18,36,6,48960,86.3,4,20,587520,4.4,2448,2421,27,High
St0004,2022,April,86,30,20,48,7,51600,78.3,2,10,567600,4.1,2580,2505,75,Medium
St0004,2022,May,178,62,19,31,6,168210,55.5,1,1,1513890,4.8,4806,4699,107,Low
St0004,2022,June,108,37,17,34,5,82944,65.7,1,4,1244160,4.6,2592,2538,54,Medium
St0004,2022,July,138,48,17,37,5,109296,53.0,4,4,983664,3.7,3312,3283,29,Low
St0004,2022,August,90,31,14,43,4,72000,67.2,3,6,720000,4.6,2250,2224,26,Medium
St0004,2022,September,161,56,14,33,6,159390,49.9,3,9,2231460,4.1,4830,4705,125,Low
St0004,2022,October,213,74,13,30,4,143136,51.1,3,9,2290176,4.3,5964,5869,95,Low
St0004,2022,November,202,70,13,55,3,175740,64.8,1,5,2108880,4.1,6060,6002,58,Medium
St0004,2022,December,202,70,19,46,4,212100,74.6,0,0,3393600,4.0,6060,5834,226,Medium
St0004,2023,January,113,39,16,48,4,71190,51.4,1,5,1067850,3.9,3390,3324,66,Low
St0004,2023,February,118,41,20,44,6,84960,64.7,3,12,1104480,3.6,3540,3489,51,Medium
St0004,2023,March,130,45,25,37,8,77740,85.0,2,10,1166100,4.2,3380,3341,39,High
St0004,2023,April,206,72,20,50,7,167272,68.0,2,10,2676352,3.7,5974,5863,111,Medium
St0004,2023,May,134,46,17,49,7,140700,60.5,3,3,1547700,4.3,4020,3999,21,Medium
St0004,2023,June,115,40,14,51,4,95680,72.2,1,4,1530880,4.1,2990,2958,32,Medium
St0004,2023,July,196,68,18,32,4,100548,59.2,3,9,904932,4.4,5292,5180,112,Low
St0004,2023,August,126,44,21,30,5,87696,84.7,0,0,789264,4.8,3654,3564,90,High
St0004,2023,September,168,58,18,50,6,124992,61.9,2,6,1874880,4.6,4032,3936,96,Medium
St0004,2023,October,237,82,17,44,7,177750,69.3,1,5,2844000,4.7,7110,7027,83,Medium
St0004,2023,November,237,82,15,42,6,198369,75.7,0,0,1785321,4.4,6399,6333,66,Medium
St0004,2023,December,271,94,17,32,7,188616,85.3,2,8,2829240,4.0,6504,6333,171,High
St0004,2024,January,139,48,18,40,4,104806,62.3,4,4,1257672,3.7,4031,3994,37,Medium
St0004,2024,February,157,54,17,48,6,149464,74.3,3,12,1793568,4.2,4396,4300,96,Medium
St0004,2024,March,137,47,25,38,6,72884,88.8,3,9,874608,4.3,3836,3720,116,High
St0004,2024,April,232,81,13,49,5,180960,60.5,1,3,1990560,4.0,6032,5793,239,Medium
St0004,2024,May,186,65,13,50,3,107880,61.7,2,6,1402440,3.8,5394,5331,63,Medium
St0004,2024,June,212,74,18,40,5,116600,62.8,0,0,1632400,4.3,5300,5134,166,Medium
St0004,2024,July,149,52,20,33,7,100128,60.0,4,4,1001280,3.6,4172,4106,66,Low
St0004,2024,August,232,81,20,49,8,199056,73.2,2,8,2786784,3.6,6032,5879,153,Medium
St0004,2024,September,159,55,18,33,6,100170,82.4,0,0,1202040,4.7,4770,4676,94,High
St0004,2024,October,237,82,14,33,3,206190,58.5,0,0,1855710,4.5,6873,6615,258,Low
St0004,2024,November,180,62,23,55,7,156600,84.6,1,3,2505600,4.8,5400,5196,204,High
St0004,2024,December,309,108,17,50,7,287370,85.1,3,9,3161070,3.9,9270,8968,302,High
St0004,2025,January,289,101,17,42,4,171666,81.0,1,2,2574990,4.6,7803,7559,244,High
St0004,2025,February,239,83,19,41,5,161564,89.5,2,10,2585024,4.5,6214,6021,193,High
St0004,2025,March,253,88,17,54,4,148764,75.3,4,4,1785168,3.7,7084,6823,261,Medium
St0004,2025,April,187,65,24,36,6,181764,81.2,0,0,1635876,4.1,5049,4869,180,High
St0004,2025,May,288,100,14,32,5,250560,70.9,2,2,3257280,4.4,8352,8073,279,Medium
St0004,2025,June,250,87,15,40,4,186000,75.8,3,12,1674000,4.4,6000,5961,39,Medium
St0004,2025,July,252,88,24,31,7,246960,92.1,0,0,3951360,4.3,7056,6945,111,High
St0004,2025,August,280,98,24,32,8,189000,81.0,1,2,2835000,4.2,7000,6778,222,High
St0004,2025,September,205,71,22,50,5,93480,76.1,4,16,1495680,4.2,4920,4772,148,Medium
St0004,2025,October,216,75,17,31,5,149040,76.9,4,20,1937520,3.6,6480,6329,151,Medium
St0004,2025,November,359,125,25,54,9,179500,92.9,1,3,2513000,4.4,8975,8722,253,High
St0004,2025,December,321,112,18,51,6,296604,73.3,2,10,4152456,4.7,8988,8872,116,Medium
St0005,2021,January,151,52,11,32,4,126387,52.6,3,15,1769418,4.1,4077,3958,119,Low
St0005,2021,February,127,44,15,35,6,116586,62.1,4,12,1865376,4.6,3429,3298,131,Medium
St0005,2021,March,136,47,18,40,6,81600,62.6,4,8,1142400,3.5,3400,3349,51,Medium
St0005,2021,April,150,52,16,38,7,75000,47.4,3,3,975000,4.2,3750,3626,124,Low
St0005,2021,May,178,62,18,53,6,134568,55.1,3,6,1345680,3.6,4806,4681,125,Low
St0005,2021,June,81,28,20,47,7,72900,80.0,4,12,874800,4.4,2025,1982,43,Medium
St0005,2021,July,161,56,18,34,4,108836,79.3,1,2,1414868,4.7,4186,4020,166,Medium
St0005,2021,August,128,44,20,40,6,138240,61.2,1,1,2211840,4.1,3840,3713,127,Medium
St0005,2021,September,142,49,13,52,5,95850,64.6,4,8,1341900,3.6,3550,3495,55,Medium
St0005,2021,October,174,60,13,46,3,91872,56.9,1,5,1010592,3.8,4176,4074,102,Low
St0005,2021,November,91,31,17,42,7,65520,58.9,4,20,720720,4.6,2184,2156,28,Low
St0005,2021,December,135,47,15,50,4,80730,60.4,2,8,1130220,3.9,3510,3413,97,Medium
St0005,2022,January,94,32,21,43,6,84600,67.7,2,6,930600,4.1,2820,2748,72,Medium
St0005,2022,February,194,67,21,53,6,110580,83.7,0,0,1326960,3.9,5820,5741,79,High
St0005,2022,March,159,55,14,34,5,87768,54.5,3,9,789912,4.2,3816,3720,96,Low
St0005,2022,April,175,61,21,49,6,136500,69.0,4,16,1638000,3.6,5250,5132,118,Medium
St0005,2022,May,97,33,17,44,6,53350,66.5,0,0,640200,4.2,2425,2378,47,Medium
St0005,2022,June,181,63,17,47,4,167244,62.6,2,10,2508660,4.5,5068,4972,96,Medium
St0005,2022,July,146,51,15,53,6,131400,55.8,0,0,1576800,4.6,3650,3584,66,Low
St0005,2022,August,119,41,22,55,8,107100,86.1,4,20,963900,4.1,3570,3521,49,High
St0005,2022,September,134,46,19,54,5,65124,67.2,2,2,846612,3.8,3618,3582,36,Medium
St0005,2022,October,140,49,17,30,7,98280,77.1,3,9,1474200,3.7,3780,3733,47,Medium
St0005,2022,November,150,52,14,44,3,97200,48.1,4,12,1555200,3.7,3600,3567,33,Low
St0005,2022,December,117,40,17,51,7,84240,58.4,2,8,926640,4.2,2808,2784,24,Low
St0005,2023,January,172,60,18,52,4,144480,90.9,3,15,2311680,4.2,4816,4658,158,High
St0005,2023,February,124,43,11,53,4,130200,59.1,0,0,1432200,4.4,3720,3680,40,Low
St0005,2023,March,235,82,16,48,7,107160,71.5,1,2,1393080,4.2,5640,5417,223,Medium
St0005,2023,April,108,37,18,41,4,61776,51.9,2,4,926640,4.7,2808,2778,30,Low
St0005,2023,May,112,39,22,30,6,72576,75.7,1,5,943488,4.6,2688,2604,84,Medium
St0005,2023,June,174,60,17,50,6,89262,83.6,3,15,981882,3.8,4698,4634,64,High
St0005,2023,July,233,81,23,55,5,174750,78.7,0,0,2097000,4.1,5825,5596,229,Medium
St0005,2023,August,206,72,15,49,6,138432,61.2,3,9,1938048,4.0,5768,5670,98,Medium
St0005,2023,September,212,74,15,48,3,103032,51.5,2,4,1339416,4.2,5724,5648,76,Low
St0005,2023,October,140,49,19,46,5,134400,81.1,3,3,1478400,3.8,4200,4144,56,High
St0005,2023,November,151,52,20,33,8,84560,62.1,2,4,845600,4.2,4228,4164,64,Medium
St0005,2023,December,170,59,15,52,5,127500,58.3,2,2,1657500,4.1,5100,4902,198,Low
St0005,2024,January,195,68,13,54,4,152685,56.8,4,16,2137590,4.0,5655,5624,31,Low
St0005,2024,February,183,64,13,41,6,114192,59.5,3,12,1598688,4.1,4392,4313,79,Low
St0005,2024,March,236,82,25,33,6,129800,89.3,4,4,1557600,3.8,5900,5714,186,High
