station_id,city,date,vehicle_type,charging_start_time,charging_end_time,energy_consumed_kwh,cost_inr,payment_method
ST029,Bhopal,2025-10-15,Bike,19:49:00,20:42:00,86.4,864.0,Cash
ST030,Delhi,2025-10-15,Bike,16:05:00,16:56:00,64.9,649.0,UPI
ST031,Delhi,2025-10-15,Truck,07:50:00,10:24:00,87.3,873.0,Cash
ST032,Ahmedabad,2025-10-15,Bike,11:43:00,13:27:00,43.3,433.0,Card
ST033,Ahmedabad,2025-10-15,Bike,08:04:00,10:35:00,23.8,238.0,Cash
ST034,Kolkata,2025-10-15,Bike,18:40:00,21:34:00,21.9,219.0,UPI
ST035,Kolkata,2025-10-15,Bus,07:17:00,09:56:00,47.9,479.0,Card
ST036,Jaipur,2025-10-15,Car,20:09:00,22:35:00,56.9,569.0,Cash
ST037,Chennai,2025-10-15,Bike,08:14:00,09:17:00,50.9,509.0,Card
ST038,Mumbai,2025-10-15,Bike,12:02:00,13:46:00,46.3,463.0,UPI
ST039,Mumbai,2025-10-15,Bike,08:14:00,08:49:00,14.9,149.0,Card
ST040,Mumbai,2025-10-15,Bus,07:11:00,08:41:00,24.4,244.0,UPI
ST041,Indore,2025-10-15,Bus,08:10:00,10:50:00,45.7,457.0,Cash
ST042,Hyderabad,2025-10-15,Car,15:33:00,18:04:00,14.0,140.0,Card
ST043,Jaipur,2025-10-15,Bike,09:27:00,10:08:00,93.4,934.0,Card
ST044,Jaipur,2025-10-15,Truck,07:04:00,07:41:00,18.0,180.0,Card
ST045,Ahmedabad,2025-10-15,Car,19:35:00,22:01:00,26.0,260.0,Card
ST046,Delhi,2025-10-15,Bus,14:43:00,15:38:00,23.0,230.0,Card
ST047,Pune,2025-10-15,Truck,14:14:00,16:08:00,92.4,924.0,Card
ST048,Indore,2025-10-15,Truck,17:05:00,18:59:00,55.3,553.0,Cash
ST049,Bhopal,2025-10-15,Truck,19:56:00,21:24:00,88.4,884.0,Cash
ST050,Kolkata,2025-10-15,Truck,18:52:00,19:23:00,76.2,762.0,UPI
ST051,Kolkata,2025-10-15,Bus,18:46:00,20:07:00,12.0,120.0,Card
ST052,Hyderabad,2025-10-15,Truck,06:44:00,08:49:00,27.3,273.0,Cash
ST053,Hyderabad,2025-10-15,Car,14:45:00,16:08:00,35.6,356.0,UPI
ST054,Jaipur,2025-10-15,Car,15:07:00,16:26:00,8.3,83.0,Card
ST055,Kolkata,2025-10-15,Truck,13:10:00,13:54:00,74.7,747.0,Cash
ST056,Bhopal,2025-10-15,Car,15:23:00,17:51:00,29.0,290.0,UPI
ST057,Ahmedabad,2025-10-15,Car,18:21:00,18:57:00,77.4,774.0,Cash
ST058,Pune,2025-10-15,Bus,06:50:00,09:45:00,86.4,864.0,UPI
ST059,Bhopal,2025-10-15,Car,15:58:00,17:48:00,73.7,737.0,Card
ST060,Indore,2025-10-15,Bus,06:12:00,06:54:00,71.5,715.0,Cash
ST061,Pune,2025-10-15,Bike,08:03:00,10:11:00,34.1,341.0,Card
ST062,Hyderabad,2025-10-15,Car,19:15:00,21:10:00,83.5,835.0,Card
ST063,Jaipur,2025-10-15,Car,11:09:00,13:49:00,70.4,704.0,Card
ST064,Chennai,2025-10-15,Truck,06:06:00,07:28:00,17.1,171.0,UPI
ST065,Jaipur,2025-10-15,Bus,20:23:00,23:20:00,56.8,568.0,UPI
ST066,Hyderabad,2025-10-15,Bus,16:25:00,19:03:00,88.4,884.0,Card
ST067,Indore,2025-10-15,Car,11:24:00,13:14:00,40.9,409.0,Cash
ST068,Bhopal,2025-10-15,Car,13:07:00,15:45:00,59.4,594.0,UPI
ST069,Kolkata,2025-10-15,Truck,06:00:00,08:35:00,66.2,662.0,Cash
ST070,Bhopal,2025-10-15,Bike,16:32:00,18:28:00,53.2,532.0,Cash
ST071,Hyderabad,2025-10-15,Bike,12:25:00,14:24:00,73.5,735.0,Cash
ST072,Ahmedabad,2025-10-15,Bus,13:32:00,14:52:00,50.5,505.0,Cash
ST073,Delhi,2025-10-15,Car,16:54:00,18:22:00,42.5,425.0,Card
ST074,Jaipur,2025-10-15,Bus,11:26:00,13:22:00,56.3,563.0,Cash
ST075,Kolkata,2025-10-15,Bus,20:46:00,21:35:00,29.6,296.0,UPI
ST076,Ahmedabad,2025-10-15,Bike,15:14:00,17:54:00,64.5,645.0,UPI
ST077,Mumbai,2025-10-15,Car,16:32:00,17:56:00,69.4,694.0,Card
ST078,Kolkata,2025-10-15,Truck,20:59:00,22:24:00,13.5,135.0,UPI
ST079,Ahmedabad,2025-10-15,Car,17:44:00,19:41:00,43.8,438.0,Card
ST080,Mumbai,2025-10-15,Truck,11:40:00,12:48:00,53.8,538.0,Cash
ST081,Kolkata,2025-10-15,Car,18:11:00,19:23:00,78.0,780.0,Cash
ST082,Ahmedabad,2025-10-15,Car,07:40:00,10:12:00,11.0,110.0,Card
ST083,Delhi,2025-10-15,Car,20:26:00,21:06:00,88.0,880.0,Card
ST084,Delhi,2025-10-15,Bike,08:58:00,10:31:00,74.4,744.0,Cash
ST085,Delhi,2025-10-15,Bus,08:55:00,11:25:00,68.5,685.0,UPI
ST086,Hyderabad,2025-10-15,Car,07:36:00,09:25:00,15.5,155.0,Cash
ST087,Ahmedabad,2025-10-15,Car,13:23:00,14:22:00,94.0,940.0,Cash
ST088,Chennai,2025-10-15,Truck,13:34:00,15:17:00,99.3,993.0,UPI
ST089,Indore,2025-10-15,Truck,18:15:00,20:31:00,82.4,824.0,Card
ST090,Jaipur,2025-10-15,Car,10:30:00,12:48:00,45.4,454.0,Card
ST091,Ahmedabad,2025-10-15,Bus,18:59:00,21:19:00,48.7,487.0,UPI
ST092,Hyderabad,2025-10-15,Bike,13:13:00,14:22:00,17.3,173.0,Cash
ST093,Jaipur,2025-10-15,Bus,16:31:00,19:15:00,93.4,934.0,Card
ST094,Mumbai,2025-10-15,Bike,12:39:00,13:36:00,38.0,380.0,Cash
ST095,Mumbai,2025-10-15,Truck,07:35:00,10:03:00,44.8,448.0,Card
ST096,Chennai,2025-10-15,Truck,13:33:00,14:36:00,26.6,266.0,Card
ST097,Ahmedabad,2025-10-15,Bus,18:45:00,21:35:00,8.6,86.0,UPI
ST098,Bhopal,2025-10-15,Bike,20:02:00,21:40:00,38.9,389.0,UPI
ST099,Bhopal,2025-10-15,Bike,11:57:00,14:08:00,68.9,689.0,UPI
ST100,Pune,2025-10-15,Truck,13:15:00,14:17:00,10.1,101.0,Card
ST101,Pune,2025-10-15,Bus,10:42:00,12:40:00,46.4,464.0,UPI
ST102,Hyderabad,2025-10-15,Truck,19:32:00,21:57:00,59.7,597.0,Cash
ST103,Indore,2025-10-15,Bike,10:06:00,11:23:00,67.9,679.0,Cash
ST104,Mumbai,2025-10-15,Truck,19:38:00,22:17:00,96.1,961.0,Cash
ST105,Hyderabad,2025-10-15,Bike,17:26:00,19:23:00,3.2,32.0,UPI
ST106,Hyderabad,2025-10-15,Bus,16:05:00,16:37:00,83.5,835.0,Card
ST107,Ahmedabad,2025-10-15,Truck,15:57:00,18:36:00,38.0,380.0,UPI
ST108,Ahmedabad,2025-10-15,Bike,10:47:00,13:33:00,42.6,426.0,Cash
ST109,Delhi,2025-10-15,Truck,18:45:00,21:01:00,74.3,743.0,Cash
ST110,Pune,2025-10-15,Car,14:19:00,15:36:00,38.3,383.0,UPI
ST111,Chennai,2025-10-15,Car,14:10:00,15:48:00,64.3,643.0,Cash
ST112,Ahmedabad,2025-10-15,Car,12:53:00,13:24:00,21.0,210.0,UPI
ST113,Indore,2025-10-15,Truck,15:29:00,17:21:00,73.2,732.0,UPI
ST114,Bhopal,2025-10-15,Bus,18:52:00,20:47:00,19.6,196.0,Cash
ST115,Bhopal,2025-10-15,Bike,06:59:00,09:09:00,24.1,241.0,Cash
ST116,Kolkata,2025-10-15,Truck,11:35:00,14:19:00,29.8,298.0,Card
ST117,Ahmedabad,2025-10-15,Bike,07:25:00,09:53:00,86.8,868.0,Card
ST118,Bhopal,2025-10-15,Truck,08:23:00,10:11:00,26.8,268.0,Card
ST119,Delhi,2025-10-15,Bike,11:04:00,13:36:00,97.4,974.0,Card
ST120,Ahmedabad,2025-10-15,Bus,10:03:00,12:35:00,44.6,446.0,Cash
ST121,Delhi,2025-10-15,Truck,06:45:00,07:15:00,50.9,509.0,UPI
ST122,Ahmedabad,2025-10-15,Car,16:17:00,18:30:00,73.3,733.0,Cash
ST123,Pune,2025-10-15,Truck,10:25:00,13:11:00,67.0,670.0,Cash
ST124,Jaipur,2025-10-15,Truck,08:16:00,09:26:00,59.8,598.0,Cash
ST125,Delhi,2025-10-15,Truck,18:06:00,20:15:00,82.5,825.0,Card
ST126,Jaipur,2025-10-15,Bike,07:14:00,08:38:00,91.9,919.0,Card
ST127,Bhopal,2025-10-15,Truck,08:11:00,10:30:00,44.6,446.0,Card
ST128,Delhi,2025-10-15,Truck,11:47:00,14:24:00,49.5,495.0,Cash
ST129,Bhopal,2025-10-15,Bus,08:01:00,09:09:00,79.4,794.0,UPI
ST130,Delhi,2025-10-15,Truck,12:35:00,14:26:00,43.3,433.0,Cash
ST131,Mumbai,2025-10-15,Bus,11:30:00,12:49:00,43.8,438.0,UPI
ST132,Bhopal,2025-10-15,Bike,07:07:00,08:59:00,69.5,695.0,UPI
ST133,Mumbai,2025-10-15,Bike,17:42:00,20:19:00,44.1,441.0,Card
ST134,Hyderabad,2025-10-15,Bike,09:02:00,11:57:00,35.8,358.0,Cash
ST135,Mumbai,2025-10-15,Truck,15:46:00,16:31:00,94.2,942.0,UPI
ST136,Mumbai,2025-10-15,Bus,18:03:00,19:25:00,63.6,636.0,UPI
ST137,Bhopal,2025-10-15,Bus,15:00:00,17:37:00,49.4,494.0,Cash
ST138,Hyderabad,2025-10-15,Truck,07:00:00,08:55:00,28.7,287.0,UPI
ST139,Delhi,2025-10-15,Bus,12:06:00,13:44:00,87.8,878.0,Card
ST140,Indore,2025-10-15,Truck,08:24:00,08:59:00,29.4,294.0,Cash
ST141,Jaipur,2025-10-15,Truck,08:01:00,09:41:00,72.5,725.0,Card
ST142,Bhopal,2025-10-15,Bike,15:04:00,16:03:00,26.3,263.0,UPI
ST143,Hyderabad,2025-10-15,Truck,17:54:00,18:52:00,93.1,931.0,Card
ST144,Bhopal,2025-10-15,Car,06:50:00,07:56:00,49.1,491.0,UPI
ST145,Kolkata,2025-10-15,Bus,11:02:00,12:07:00,66.1,661.0,UPI
ST146,Jaipur,2025-10-15,Bike,20:17:00,20:54:00,12.9,129.0,Cash
ST147,Mumbai,2025-10-15,Bus,17:27:00,20:19:00,26.3,263.0,Cash
ST148,Indore,2025-10-15,Bus,06:32:00,08:45:00,32.3,323.0,Card
ST149,Indore,2025-10-15,Car,15:19:00,17:20:00,31.4,314.0,Cash
ST150,Hyderabad,2025-10-15,Bus,19:54:00,21:26:00,29.9,299.0,Card
ST151,Indore,2025-10-15,Truck,06:43:00,07:55:00,56.6,566.0,Card
ST152,Bhopal,2025-10-15,Bus,19:06:00,20:58:00,54.1,541.0,Card
ST153,Chennai,2025-10-15,Bus,06:51:00,08:52:00,53.2,532.0,UPI
ST154,Pune,2025-10-15,Bike,15:51:00,17:19:00,51.6,516.0,Cash
ST155,Indore,2025-10-15,Car,15:49:00,18:27:00,11.3,113.0,Cash
ST156,Chennai,2025-10-15,Truck,08:06:00,08:47:00,71.5,715.0,Cash
ST157,Delhi,2025-10-15,Car,18:55:00,20:34:00,31.4,314.0,Cash
ST158,Jaipur,2025-10-15,Bike,16:18:00,18:55:00,54.2,542.0,UPI
ST159,Indore,2025-10-15,Truck,10:08:00,12:46:00,26.1,261.0,UPI
ST160,Mumbai,2025-10-15,Bus,14:56:00,16:52:00,9.3,93.0,UPI
ST161,Delhi,2025-10-15,Bike,11:35:00,13:33:00,45.3,453.0,Cash
ST162,Indore,2025-10-15,Car,19:11:00,21:35:00,9.4,94.0,Card
ST163,Ahmedabad,2025-10-15,Car,09:12:00,10:19:00,67.7,677.0,Cash
ST164,Indore,2025-10-15,Truck,17:59:00,18:31:00,64.3,643.0,UPI
ST165,Chennai,2025-10-15,Bike,19:52:00,21:38:00,8.3,83.0,UPI
ST166,Ahmedabad,2025-10-15,Bus,08:25:00,10:05:00,33.1,331.0,Card
ST167,Bhopal,2025-10-15,Bike,11:58:00,14:14:00,3.3,33.0,Cash
ST168,Kolkata,2025-10-15,Car,13:38:00,15:31:00,78.5,785.0,Cash
ST169,Mumbai,2025-10-15,Truck,16:12:00,16:47:00,25.6,256.0,Cash
ST170,Delhi,2025-10-15,Bus,06:28:00,07:48:00,11.1,111.0,UPI
ST171,Indore,2025-10-15,Bike,14:14:00,16:58:00,88.8,888.0,UPI
ST172,Jaipur,2025-10-15,Car,13:55:00,15:08:00,10.4,104.0,Cash
ST173,Bhopal,2025-10-15,Car,11:01:00,12:38:00,74.4,744.0,UPI
ST174,Delhi,2025-10-15,Car,10:04:00,12:29:00,75.3,753.0,UPI
ST175,Delhi,2025-10-15,Bus,19:57:00,22:21:00,97.4,974.0,Cash
ST176,Bhopal,2025-10-15,Car,17:14:00,18:10:00,29.2,292.0,UPI
ST177,Jaipur,2025-10-15,Bike,09:43:00,11:05:00,90.5,905.0,UPI
ST178,Mumbai,2025-10-15,Car,20:06:00,21:58:00,27.3,273.0,Cash
ST179,Kolkata,2025-10-15,Truck,10:51:00,11:51:00,51.6,516.0,Card
ST180,Delhi,2025-10-15,Bike,14:50:00,15:32:00,22.3,223.0,Card
ST181,Ahmedabad,2025-10-15,Car,07:13:00,09:49:00,73.5,735.0,Cash
ST182,Mumbai,2025-10-15,Bus,17:37:00,18:27:00,31.9,319.0,Card
ST183,Chennai,2025-10-15,Truck,17:59:00,18:38:00,56.7,567.0,Cash
ST184,Hyderabad,2025-10-15,Car,14:07:00,14:44:00,7.1,71.0,UPI
ST185,Delhi,2025-10-15,Truck,14:13:00,17:09:00,79.5,795.0,Card
ST186,Indore,2025-10-15,Car,14:28:00,16:20:00,47.2,472.0,Cash
ST187,Hyderabad,2025-10-15,Bike,20:43:00,21:47:00,10.5,105.0,UPI
ST188,Mumbai,2025-10-15,Bus,13:31:00,15:50:00,13.8,138.0,UPI
ST189,Ahmedabad,2025-10-15,Car,18:28:00,19:32:00,3.4,34.0,UPI
ST190,Chennai,2025-10-15,Car,14:58:00,16:19:00,40.6,406.0,Card
ST191,Bhopal,2025-10-15,Car,06:11:00,08:02:00,73.3,733.0,Card
ST192,Delhi,2025-10-15,Bike,20:12:00,22:12:00,23.9,239.0,UPI
ST193,Mumbai,2025-10-15,Bus,15:02:00,16:18:00,74.8,748.0,Cash
ST194,Hyderabad,2025-10-15,Bike,17:15:00,18:05:00,76.4,764.0,UPI
ST195,Mumbai,2025-10-15,Bike,10:50:00,12:20:00,26.6,266.0,Card
ST196,Pune,2025-10-15,Bike,07:35:00,10:29:00,80.0,800.0,UPI
ST197,Ahmedabad,2025-10-15,Bike,12:41:00,14:25:00,4.0,40.0,Card
ST198,Delhi,2025-10-15,Bike,17:40:00,18:40:00,11.0,110.0,UPI
ST199,Jaipur,2025-10-15,Truck,15:32:00,16:02:00,83.1,831.0,Cash
ST200,Mumbai,2025-10-15,Car,18:11:00,19:17:00,63.2,632.0,UPI
ST201,Jaipur,2025-10-15,Bike,19:06:00,20:08:00,56.9,569.0,UPI
ST202,Hyderabad,2025-10-15,Bus,09:10:00,10:45:00,97.1,971.0,UPI
ST203,Hyderabad,2025-10-15,Bike,10:54:00,13:54:00,16.5,165.0,UPI
ST204,Chennai,2025-10-15,Truck,11:26:00,14:09:00,5.1,51.0,UPI
ST205,Jaipur,2025-10-15,Truck,08:41:00,09:12:00,48.2,482.0,Card
ST206,Pune,2025-10-15,Bus,11:37:00,14:00:00,63.4,634.0,Cash
ST207,Jaipur,2025-10-15,Car,11:59:00,12:55:00,57.3,573.0,Card
ST208,Kolkata,2025-10-15,Truck,15:44:00,16:16:00,57.7,577.0,UPI
ST209,Hyderabad,2025-10-15,Car,09:48:00,11:44:00,97.4,974.0,Card
ST210,Indore,2025-10-15,Car,20:38:00,21:19:00,10.0,100.0,UPI
ST211,Ahmedabad,2025-10-15,Truck,18:05:00,20:04:00,97.2,972.0,Cash
ST212,Pune,2025-10-15,Bus,16:57:00,18:20:00,38.2,382.0,Card
ST213,Kolkata,2025-10-15,Bike,16:49:00,17:23:00,65.3,653.0,Card
ST214,Jaipur,2025-10-15,Bus,12:26:00,13:09:00,31.3,313.0,Card
ST215,Chennai,2025-10-15,Car,18:21:00,19:09:00,95.8,958.0,Cash
ST216,Pune,2025-10-15,Car,11:50:00,13:33:00,13.2,132.0,Cash
ST217,Indore,2025-10-15,Bike,20:48:00,22:17:00,88.8,888.0,Cash
ST218,Chennai,2025-10-15,Bike,07:27:00,08:28:00,66.2,662.0,UPI
ST219,Bhopal,2025-10-15,Bike,12:10:00,13:00:00,96.2,962.0,Cash
ST220,Pune,2025-10-15,Car,18:48:00,20:57:00,96.8,968.0,UPI
ST221,Indore,2025-10-15,Car,16:22:00,18:09:00,14.3,143.0,UPI
ST222,Chennai,2025-10-15,Car,17:55:00,20:12:00,37.6,376.0,Cash
ST223,Bhopal,2025-10-15,Car,14:45:00,17:10:00,30.5,305.0,Cash
ST224,Kolkata,2025-10-15,Bike,19:29:00,22:13:00,55.2,552.0,Cash
ST225,Ahmedabad,2025-10-15,Bus,07:56:00,09:41:00,25.3,253.0,UPI
ST226,Pune,2025-10-15,Truck,13:41:00,16:34:00,98.7,987.0,Cash
ST227,Bhopal,2025-10-15,Bike,12:21:00,14:06:00,47.4,474.0,Card
ST228,Ahmedabad,2025-10-15,Truck,11:40:00,14:36:00,63.7,637.0,Card
ST229,Indore,2025-10-15,Car,20:38:00,23:08:00,41.7,417.0,Cash
ST230,Indore,2025-10-15,Car,07:59:00,10:30:00,96.6,966.0,Card
ST231,Kolkata,2025-10-15,Bus,06:51:00,09:19:00,78.3,783.0,UPI
ST232,Kolkata,2025-10-15,Bus,18:26:00,20:57:00,70.8,708.0,Cash
ST233,Delhi,2025-10-15,Truck,19:19:00,22:00:00,82.6,826.0,UPI
ST234,Kolkata,2025-10-15,Car,20:51:00,21:51:00,18.4,184.0,Card
ST235,Indore,2025-10-15,Bus,06:28:00,09:27:00,77.9,779.0,Cash
ST236,Delhi,2025-10-15,Bike,15:38:00,16:54:00,95.3,953.0,Cash
ST237,Ahmedabad,2025-10-15,Car,15:23:00,17:43:00,58.3,583.0,Cash
ST238,Bhopal,2025-10-15,Truck,14:38:00,17:02:00,53.8,538.0,Card
ST239,Chennai,2025-10-15,Truck,13:28:00,15:54:00,36.0,360.0,UPI
ST240,Chennai,2025-10-15,Car,10:00:00,12:48:00,44.4,444.0,Card
ST241,Pune,2025-10-15,Car,09:07:00,11:13:00,70.7,707.0,UPI
ST242,Bhopal,2025-10-15,Bike,17:25:00,19:41:00,34.3,343.0,Cash
ST243,Jaipur,2025-10-15,Car,08:03:00,10:39:00,99.5,995.0,UPI
ST244,Delhi,2025-10-15,Truck,16:40:00,19:18:00,20.1,201.0,Cash
ST245,Kolkata,2025-10-15,Bus,12:31:00,14:33:00,34.6,346.0,UPI
ST246,Indore,2025-10-15,Bus,06:12:00,07:44:00,24.5,245.0,UPI
ST247,Indore,2025-10-15,Truck,19:04:00,20:00:00,97.2,972.0,Cash
ST248,Jaipur,2025-10-15,Car,07:32:00,09:35:00,84.4,844.0,UPI
ST249,Ahmedabad,2025-10-15,Truck,08:27:00,10:29:00,36.0,360.0,UPI
ST250,Pune,2025-10-15,Truck,10:21:00,12:40:00,91.2,912.0,UPI
ST251,Pune,2025-10-15,Car,14:56:00,17:00:00,12.6,126.0,Card
ST252,Indore,2025-10-15,Bike,13:11:00,13:45:00,42.5,425.0,UPI
ST253,Kolkata,2025-10-15,Car,13:37:00,14:43:00,12.5,125.0,Card
ST254,Jaipur,2025-10-15,Bike,14:54:00,16:55:00,78.0,780.0,UPI
ST255,Bhopal,2025-10-15,Bus,08:07:00,09:49:00,31.7,317.0,UPI
ST256,Delhi,2025-10-15,Car,10:28:00,12:11:00,81.5,815.0,UPI
ST257,Chennai,2025-10-15,Bike,13:54:00,14:44:00,57.0,570.0,Cash
ST258,Chennai,2025-10-15,Truck,08:56:00,11:32:00,43.2,432.0,Cash
ST259,Jaipur,2025-10-15,Truck,14:57:00,15:44:00,79.2,792.0,Cash
ST260,Pune,2025-10-15,Bus,15:48:00,16:32:00,24.3,243.0,Cash
ST261,Pune,2025-10-15,Bike,11:30:00,13:21:00,27.7,277.0,Cash
ST262,Ahmedabad,2025-10-15,Car,19:58:00,22:11:00,59.1,591.0,Card
ST263,Delhi,2025-10-15,Bike,15:26:00,17:23:00,37.7,377.0,Card
ST264,Jaipur,2025-10-15,Car,14:28:00,16:00:00,25.1,251.0,Card
ST265,Ahmedabad,2025-10-15,Bus,13:22:00,13:59:00,41.8,418.0,Card
ST266,Hyderabad,2025-10-15,Car,16:32:00,19:25:00,18.8,188.0,Card
ST267,Jaipur,2025-10-15,Truck,08:56:00,11:48:00,13.0,130.0,Card
ST268,Indore,2025-10-15,Truck,12:41:00,15:31:00,58.4,584.0,Cash
ST269,Ahmedabad,2025-10-15,Car,16:17:00,18:21:00,11.8,118.0,Cash
ST270,Jaipur,2025-10-15,Truck,10:27:00,12:26:00,29.4,294.0,Card
ST271,Delhi,2025-10-15,Bus,07:53:00,09:33:00,77.2,772.0,UPI
ST272,Pune,2025-10-15,Car,18:19:00,19:33:00,50.0,500.0,Card
ST273,Indore,2025-10-15,Truck,18:26:00,19:44:00,74.1,741.0,Cash
ST274,Hyderabad,2025-10-15,Car,08:31:00,10:19:00,16.2,162.0,UPI
ST275,Ahmedabad,2025-10-15,Bike,20:33:00,22:19:00,18.1,181.0,Card
ST276,Kolkata,2025-10-15,Bus,17:56:00,18:54:00,55.5,555.0,Cash
ST277,Jaipur,2025-10-15,Bike,18:57:00,21:15:00,17.9,179.0,Cash
ST278,Mumbai,2025-10-15,Car,14:55:00,17:16:00,44.0,440.0,UPI
ST279,Mumbai,2025-10-15,Car,16:41:00,17:32:00,96.5,965.0,Cash
ST280,Jaipur,2025-10-15,Bus,06:13:00,08:11:00,11.6,116.0,Card
ST281,Ahmedabad,2025-10-15,Car,19:47:00,22:00:00,13.3,133.0,Card
ST282,Bhopal,2025-10-15,Truck,19:20:00,22:04:00,75.0,750.0,UPI
ST283,Jaipur,2025-10-15,Bus,16:00:00,16:57:00,35.7,357.0,UPI
ST284,Jaipur,2025-10-15,Bike,14:12:00,14:51:00,75.5,755.0,Cash
ST285,Kolkata,2025-10-15,Bus,08:24:00,11:01:00,15.0,150.0,Card
ST286,Ahmedabad,2025-10-15,Bus,14:22:00,16:24:00,26.7,267.0,UPI
ST287,Hyderabad,2025-10-15,Car,17:17:00,20:12:00,67.6,676.0,UPI
ST288,Chennai,2025-10-15,Truck,12:14:00,13:06:00,72.3,723.0,Cash
ST289,Hyderabad,2025-10-15,Car,07:29:00,09:06:00,13.4,134.0,Card
ST290,Indore,2025-10-15,Bus,07:26:00,08:45:00,27.9,279.0,UPI
ST291,Chennai,2025-10-15,Bus,12:19:00,13:21:00,84.4,844.0,Cash
ST292,Bhopal,2025-10-15,Bus,18:05:00,18:56:00,62.8,628.0,Cash
ST293,Hyderabad,2025-10-15,Truck,18:35:00,19:22:00,80.7,807.0,Cash
ST294,Pune,2025-10-15,Car,19:39:00,21:15:00,66.6,666.0,Card
ST295,Kolkata,2025-10-15,Bus,19:01:00,19:31:00,81.9,819.0,UPI
ST296,Jaipur,2025-10-15,Bike,15:21:00,17:28:00,85.4,854.0,Cash
ST297,Jaipur,2025-10-15,Car,14:46:00,17:30:00,89.4,894.0,Cash
ST298,Chennai,2025-10-15,Truck,11:36:00,13:45:00,47.4,474.0,UPI
ST299,Delhi,2025-10-15,Bus,11:39:00,12:39:00,72.9,729.0,UPI
ST300,Ahmedabad,2025-10-15,Car,10:51:00,11:45:00,75.9,759.0,Card
ST301,Jaipur,2025-10-15,Truck,15:01:00,16:23:00,45.2,452.0,Card
ST302,Ahmedabad,2025-10-15,Bike,13:32:00,14:21:00,98.9,989.0,Card
ST303,Delhi,2025-10-15,Car,15:28:00,17:19:00,50.1,501.0,Card
ST304,Jaipur,2025-10-15,Truck,12:51:00,14:36:00,32.1,321.0,Card
ST305,Bhopal,2025-10-15,Bike,16:21:00,17:03:00,24.4,244.0,Card
ST306,Kolkata,2025-10-15,Bike,20:13:00,23:00:00,75.0,750.0,Cash
ST307,Delhi,2025-10-15,Bike,06:49:00,09:11:00,30.0,300.0,Card
ST308,Ahmedabad,2025-10-15,Truck,17:56:00,20:26:00,7.0,70.0,Cash
ST309,Mumbai,2025-10-15,Bus,09:45:00,10:28:00,44.4,444.0,Cash
ST310,Bhopal,2025-10-15,Car,17:57:00,19:48:00,62.8,628.0,Cash
ST311,Hyderabad,2025-10-15,Car,11:33:00,14:12:00,37.5,375.0,Cash
ST312,Bhopal,2025-10-15,Bus,18:23:00,20:39:00,82.8,828.0,Card
ST313,Delhi,2025-10-15,Bus,07:11:00,08:56:00,99.2,992.0,UPI
ST314,Pune,2025-10-15,Bike,16:52:00,19:35:00,87.6,876.0,Card
