Year,Month,Month_No,State,City,2W,3W,4W,Bus,Goods,Total_EV
2021,January,1,Madhya Pradesh,Ujjain,1144,214,160,14,64,1596
2021,January,1,Punjab,Ludhiana,1007,188,141,12,56,1404
2021,January,1,Punjab,Amritsar,1196,224,168,14,67,1669
2021,January,1,Punjab,Jalandhar,869,163,122,10,48,1212
2021,January,1,Punjab,Patiala,1196,224,168,14,67,1669
2021,January,1,Punjab,Bathinda,1212,227,170,15,68,1692
2021,January,1,Bihar,Patna,946,177,133,11,53,1320
2021,January,1,Bihar,Gaya,1002,187,140,12,56,1397
2021,January,1,Bihar,Muzaffarpur,1189,222,167,14,66,1658
2021,January,1,Bihar,Bhagalpur,1214,227,170,15,68,1694
2021,January,1,Bihar,Purnia,1133,212,159,14,63,1581
2021,January,1,Odisha,Bhubaneswar,838,157,117,10,47,1169
2021,January,1,Odisha,Cuttack,885,166,124,11,49,1235
2021,January,1,Odisha,Rourkela,940,176,132,11,52,1311
2021,January,1,Odisha,Sambalpur,1053,197,148,13,59,1470
2021,January,1,Odisha,Berhampur,1150,215,161,14,64,1604
2021,January,1,Assam,Guwahati,1040,195,146,13,58,1452
2021,January,1,Assam,Silchar,1036,194,145,12,58,1445
2021,January,1,Assam,Dibrugarh,840,157,118,10,47,1172
2021,January,1,Assam,Jorhat,1222,229,171,15,68,1705
2021,January,1,Assam,Nagaon,1223,229,172,15,68,1707
2021,February,2,Maharashtra,Mumbai,2008,376,282,25,112,2803
2021,February,2,Maharashtra,Pune,1836,344,258,22,103,2563
2021,February,2,Maharashtra,Nagpur,1535,287,215,19,86,2142
2021,February,2,Maharashtra,Nashik,1956,366,275,24,110,2731
2021,February,2,Maharashtra,Aurangabad,1790,335,251,22,100,2498
2021,February,2,Karnataka,Bengaluru,1675,314,235,20,94,2338
2021,February,2,Karnataka,Mysuru,1739,326,244,21,97,2427
2021,February,2,Karnataka,Hubballi,1768,331,248,22,99,2468
2021,February,2,Karnataka,Mangaluru,1506,282,211,18,84,2101
2021,February,2,Karnataka,Belagavi,1548,290,217,19,87,2161
2021,February,2,Tamil Nadu,Chennai,1473,276,207,18,82,2056
2021,February,2,Tamil Nadu,Coimbatore,1753,328,246,21,98,2446
2021,February,2,Tamil Nadu,Madurai,1787,335,251,22,100,2495
2021,February,2,Tamil Nadu,Salem,1549,290,217,19,87,2162
2021,February,2,Tamil Nadu,Tiruchirappalli,1677,314,235,20,94,2340
2021,February,2,Telangana,Hyderabad,937,175,131,11,52,1306
2021,February,2,Telangana,Warangal,1005,188,141,12,56,1402
2021,February,2,Telangana,Karimnagar,1040,195,146,13,58,1452
2021,February,2,Telangana,Nizamabad,1152,216,162,14,64,1608
2021,February,2,Telangana,Khammam,1215,227,170,15,68,1695
2021,February,2,Gujarat,Ahmedabad,1194,223,167,14,67,1665
2021,February,2,Gujarat,Surat,1150,215,161,14,64,1604
2021,February,2,Gujarat,Vadodara,841,157,118,10,47,1173
2021,February,2,Gujarat,Rajkot,1166,218,164,14,65,1627
2021,February,2,Gujarat,Bhavnagar,1062,199,149,13,59,1482
2021,February,2,Uttar Pradesh,Lucknow,2096,393,294,26,117,2926
2021,February,2,Uttar Pradesh,Kanpur,1543,289,217,19,86,2154
2021,February,2,Uttar Pradesh,Agra,1921,360,270,24,108,2683
2021,February,2,Uttar Pradesh,Varanasi,2178,408,306,27,122,3041
2021,February,2,Uttar Pradesh,Prayagraj,2053,385,288,25,115,2866
2021,February,2,Kerala,Thiruvananthapuram,1085,203,152,13,61,1514
2021,February,2,Kerala,Kochi,870,163,122,10,48,1213
2021,February,2,Kerala,Kozhikode,992,186,139,12,55,1384
2021,February,2,Kerala,Thrissur,1044,195,146,13,58,1456
2021,February,2,Kerala,Kollam,986,184,138,12,55,1375
2021,February,2,Rajasthan,Jaipur,940,176,132,11,52,1311
2021,February,2,Rajasthan,Jodhpur,881,165,123,11,49,1229
2021,February,2,Rajasthan,Udaipur,1247,233,175,15,70,1740
2021,February,2,Rajasthan,Kota,1146,215,161,14,64,1600
2021,February,2,Rajasthan,Ajmer,909,170,127,11,51,1268
2021,February,2,West Bengal,Kolkata,852,159,119,10,47,1187
2021,February,2,West Bengal,Howrah,1113,208,156,13,62,1552
2021,February,2,West Bengal,Siliguri,956,179,134,11,53,1333
2021,February,2,West Bengal,Durgapur,1019,191,143,12,57,1422
2021,February,2,West Bengal,Asansol,1045,196,147,13,58,1459
2021,February,2,Andhra Pradesh,Visakhapatnam,1115,209,156,13,62,1555
2021,February,2,Andhra Pradesh,Vijayawada,867,162,122,10,48,1209
2021,February,2,Andhra Pradesh,Guntur,1234,231,173,15,69,1722
2021,February,2,Andhra Pradesh,Tirupati,1075,201,151,13,60,1500
2021,February,2,Andhra Pradesh,Kurnool,1173,220,165,14,66,1638
2021,February,2,Madhya Pradesh,Bhopal,946,177,133,11,53,1320
2021,February,2,Madhya Pradesh,Indore,1027,192,144,12,57,1432
2021,February,2,Madhya Pradesh,Jabalpur,982,184,138,12,55,1371
2021,February,2,Madhya Pradesh,Gwalior,969,181,136,12,54,1352
2021,February,2,Madhya Pradesh,Ujjain,1002,188,141,12,56,1399
2021,February,2,Punjab,Ludhiana,1066,199,149,13,59,1486
2021,February,2,Punjab,Amritsar,999,187,140,12,56,1394
2021,February,2,Punjab,Jalandhar,1200,225,168,15,67,1675
2021,February,2,Punjab,Patiala,1235,231,173,15,69,1723
2021,February,2,Punjab,Bathinda,896,168,126,11,50,1251
2021,February,2,Bihar,Patna,1169,219,164,14,65,1631
2021,February,2,Bihar,Gaya,1072,201,150,13,60,1496
2021,February,2,Bihar,Muzaffarpur,860,161,120,10,48,1199
2021,February,2,Bihar,Bhagalpur,860,161,121,10,48,1200
2021,February,2,Bihar,Purnia,926,173,130,11,52,1292
2021,February,2,Odisha,Bhubaneswar,1131,212,159,14,63,1579
2021,February,2,Odisha,Cuttack,976,183,137,12,54,1362
2021,February,2,Odisha,Rourkela,984,184,138,12,55,1373
2021,February,2,Odisha,Sambalpur,1003,188,141,12,56,1400
2021,February,2,Odisha,Berhampur,1009,189,141,12,56,1407
2021,February,2,Assam,Guwahati,941,176,132,11,52,1312
2021,February,2,Assam,Silchar,988,185,139,12,55,1379
2021,February,2,Assam,Dibrugarh,1126,211,158,14,63,1572
2021,February,2,Assam,Jorhat,876,164,123,10,49,1222
2021,February,2,Assam,Nagaon,1163,218,163,14,65,1623
2021,March,3,Maharashtra,Mumbai,2191,410,308,27,123,3059
2021,March,3,Maharashtra,Pune,1994,373,280,24,112,2783
2021,March,3,Maharashtra,Nagpur,2153,403,302,26,121,3005
2021,March,3,Maharashtra,Nashik,1504,282,211,18,84,2099
2021,March,3,Maharashtra,Aurangabad,2145,402,301,26,120,2994
2021,March,3,Karnataka,Bengaluru,2132,399,299,26,119,2975
2021,March,3,Karnataka,Mysuru,1623,304,228,20,91,2266
2021,March,3,Karnataka,Hubballi,1834,343,257,22,103,2559
2021,March,3,Karnataka,Mangaluru,1531,287,215,19,86,2138
2021,March,3,Karnataka,Belagavi,1753,328,246,21,98,2446
2021,March,3,Tamil Nadu,Chennai,1610,302,226,20,90,2248
2021,March,3,Tamil Nadu,Coimbatore,1961,367,275,24,110,2737
2021,March,3,Tamil Nadu,Madurai,2000,375,281,25,112,2793
2021,March,3,Tamil Nadu,Salem,1707,320,240,21,96,2384
2021,March,3,Tamil Nadu,Tiruchirappalli,2052,384,288,25,115,2864
2021,March,3,Telangana,Hyderabad,1226,229,172,15,68,1710
2021,March,3,Telangana,Warangal,1058,198,148,13,59,1476
2021,March,3,Telangana,Karimnagar,981,184,138,12,55,1370
2021,March,3,Telangana,Nizamabad,1216,228,171,15,68,1698
2021,March,3,Telangana,Khammam,983,184,138,12,55,1372
2021,March,3,Gujarat,Ahmedabad,1179,221,165,14,66,1645
2021,March,3,Gujarat,Surat,987,185,138,12,55,1377
2021,March,3,Gujarat,Vadodara,1042,195,146,13,58,1454
2021,March,3,Gujarat,Rajkot,1234,231,173,15,69,1722
2021,March,3,Gujarat,Bhavnagar,839,157,118,10,47,1171
2021,March,3,Uttar Pradesh,Lucknow,1966,368,276,24,110,2744
2021,March,3,Uttar Pradesh,Kanpur,1964,368,276,24,110,2742
2021,March,3,Uttar Pradesh,Agra,1679,314,236,20,94,2343
2021,March,3,Uttar Pradesh,Varanasi,1802,337,253,22,101,2515
2021,March,3,Uttar Pradesh,Prayagraj,2041,382,287,25,114,2849
2021,March,3,Kerala,Thiruvananthapuram,1201,225,168,15,67,1676
2021,March,3,Kerala,Kochi,868,162,122,10,48,1210
2021,March,3,Kerala,Kozhikode,841,157,118,10,47,1173
2021,March,3,Kerala,Thrissur,1069,200,150,13,60,1492
2021,March,3,Kerala,Kollam,970,181,136,12,54,1353
2021,March,3,Rajasthan,Jaipur,904,169,127,11,50,1261
2021,March,3,Rajasthan,Jodhpur,877,164,123,10,49,1223
2021,March,3,Rajasthan,Udaipur,1097,205,154,13,61,1530
2021,March,3,Rajasthan,Kota,1109,208,156,13,62,1548
2021,March,3,Rajasthan,Ajmer,950,178,133,11,53,1325
2021,March,3,West Bengal,Kolkata,932,174,131,11,52,1300
2021,March,3,West Bengal,Howrah,1073,201,150,13,60,1497
2021,March,3,West Bengal,Siliguri,1080,202,151,13,60,1506
2021,March,3,West Bengal,Durgapur,1094,205,153,13,61,1526
2021,March,3,West Bengal,Asansol,872,163,122,10,49,1216
2021,March,3,Andhra Pradesh,Visakhapatnam,1142,214,160,14,64,1594
2021,March,3,Andhra Pradesh,Vijayawada,1125,211,158,14,63,1571
2021,March,3,Andhra Pradesh,Guntur,1175,220,165,14,66,1640
2021,March,3,Andhra Pradesh,Tirupati,974,182,136,12,54,1358
2021,March,3,Andhra Pradesh,Kurnool,1225,229,172,15,68,1709
2021,March,3,Madhya Pradesh,Bhopal,931,174,130,11,52,1298
2021,March,3,Madhya Pradesh,Indore,926,173,130,11,52,1292
2021,March,3,Madhya Pradesh,Jabalpur,1241,232,174,15,69,1731
2021,March,3,Madhya Pradesh,Gwalior,1083,203,152,13,60,1511
2021,March,3,Madhya Pradesh,Ujjain,1224,229,172,15,68,1708
2021,March,3,Punjab,Ludhiana,1065,199,149,13,59,1485
2021,March,3,Punjab,Amritsar,874,164,123,10,49,1220
2021,March,3,Punjab,Jalandhar,876,164,123,10,49,1222
2021,March,3,Punjab,Patiala,898,168,126,11,50,1253
2021,March,3,Punjab,Bathinda,873,163,122,10,49,1217
2021,March,3,Bihar,Patna,925,173,130,11,52,1291
2021,March,3,Bihar,Gaya,1199,224,168,14,67,1672
2021,March,3,Bihar,Muzaffarpur,890,166,125,11,50,1242
2021,March,3,Bihar,Bhagalpur,997,186,140,12,56,1391
2021,March,3,Bihar,Purnia,1153,216,162,14,64,1609
2021,March,3,Odisha,Bhubaneswar,869,163,122,10,48,1212
2021,March,3,Odisha,Cuttack,1099,206,154,13,61,1533
2021,March,3,Odisha,Rourkela,978,183,137,12,55,1365
2021,March,3,Odisha,Sambalpur,1018,190,143,12,57,1420
2021,March,3,Odisha,Berhampur,967,181,136,12,54,1350
2021,March,3,Assam,Guwahati,1181,221,166,14,66,1648
2021,March,3,Assam,Silchar,881,165,123,11,49,1229
2021,March,3,Assam,Dibrugarh,896,168,126,11,50,1251
2021,March,3,Assam,Jorhat,836,156,117,10,47,1166
2021,March,3,Assam,Nagaon,1123,210,158,14,63,1568
2021,April,4,Maharashtra,Mumbai,2093,392,294,26,117,2922
2021,April,4,Maharashtra,Pune,1690,316,237,21,95,2359
2021,April,4,Maharashtra,Nagpur,1520,285,213,19,85,2122
2021,April,4,Maharashtra,Nashik,1473,276,207,18,82,2056
2021,April,4,Maharashtra,Aurangabad,1999,374,281,24,112,2790
2021,April,4,Karnataka,Bengaluru,1905,357,267,23,107,2659
2021,April,4,Karnataka,Mysuru,1487,278,209,18,83,2075
2021,April,4,Karnataka,Hubballi,2012,377,283,25,113,2810
2021,April,4,Karnataka,Mangaluru,2153,403,302,26,121,3005
2021,April,4,Karnataka,Belagavi,2179,408,306,27,122,3042
2021,April,4,Tamil Nadu,Chennai,1722,322,242,21,96,2403
2021,April,4,Tamil Nadu,Coimbatore,1692,317,237,21,95,2362
2021,April,4,Tamil Nadu,Madurai,1681,315,236,21,94,2347
2021,April,4,Tamil Nadu,Salem,1983,371,278,24,111,2767
2021,April,4,Tamil Nadu,Tiruchirappalli,2075,389,291,25,116,2896
2021,April,4,Telangana,Hyderabad,1234,231,173,15,69,1722
2021,April,4,Telangana,Warangal,1109,208,156,13,62,1548
2021,April,4,Telangana,Karimnagar,1048,196,147,13,58,1462
2021,April,4,Telangana,Nizamabad,871,163,122,10,49,1215
2021,April,4,Telangana,Khammam,1005,188,141,12,56,1402
2021,April,4,Gujarat,Ahmedabad,929,174,130,11,52,1296
2021,April,4,Gujarat,Surat,1013,190,142,12,57,1414
2021,April,4,Gujarat,Vadodara,1003,188,141,12,56,1400
2021,April,4,Gujarat,Rajkot,1231,230,173,15,69,1718
2021,April,4,Gujarat,Bhavnagar,959,179,134,11,53,1336
2021,April,4,Uttar Pradesh,Lucknow,2115,396,297,26,119,2953
2021,April,4,Uttar Pradesh,Kanpur,1702,319,239,21,95,2376
2021,April,4,Uttar Pradesh,Agra,2190,410,308,27,123,3058
2021,April,4,Uttar Pradesh,Varanasi,1893,355,266,23,106,2643
2021,April,4,Uttar Pradesh,Prayagraj,1682,315,236,21,94,2348
2021,April,4,Kerala,Thiruvananthapuram,1048,196,147,13,58,1462
2021,April,4,Kerala,Kochi,962,180,135,12,54,1343
2021,April,4,Kerala,Kozhikode,989,185,139,12,55,1380
2021,April,4,Kerala,Thrissur,1158,217,162,14,65,1616
2021,April,4,Kerala,Kollam,840,157,118,10,47,1172
2021,April,4,Rajasthan,Jaipur,1231,230,173,15,69,1718
2021,April,4,Rajasthan,Jodhpur,1110,208,156,13,62,1549
2021,April,4,Rajasthan,Udaipur,968,181,136,12,54,1351
2021,April,4,Rajasthan,Kota,1159,217,163,14,65,1618
2021,April,4,Rajasthan,Ajmer,1011,189,142,12,56,1410
2021,April,4,West Bengal,Kolkata,1084,203,152,13,61,1513
2021,April,4,West Bengal,Howrah,1100,206,154,13,61,1534
2021,April,4,West Bengal,Siliguri,861,161,121,10,48,1201
2021,April,4,West Bengal,Durgapur,930,174,130,11,52,1297
2021,April,4,West Bengal,Asansol,941,176,132,11,52,1312
2021,April,4,Andhra Pradesh,Visakhapatnam,1131,212,159,14,63,1579
2021,April,4,Andhra Pradesh,Vijayawada,1033,193,145,12,58,1441
2021,April,4,Andhra Pradesh,Guntur,935,175,131,11,52,1304
2021,April,4,Andhra Pradesh,Tirupati,929,174,130,11,52,1296
2021,April,4,Andhra Pradesh,Kurnool,1021,191,143,12,57,1424
2021,April,4,Madhya Pradesh,Bhopal,1119,209,157,13,62,1560
2021,April,4,Madhya Pradesh,Indore,1061,199,149,13,59,1481
2021,April,4,Madhya Pradesh,Jabalpur,892,167,125,11,50,1245
2021,April,4,Madhya Pradesh,Gwalior,1103,206,155,13,62,1539
2021,April,4,Madhya Pradesh,Ujjain,1022,191,143,12,57,1425
2021,April,4,Punjab,Ludhiana,854,160,120,10,48,1192
2021,April,4,Punjab,Amritsar,1203,225,169,15,67,1679
2021,April,4,Punjab,Jalandhar,1035,194,145,12,58,1444
2021,April,4,Punjab,Patiala,1140,213,160,14,64,1591
2021,April,4,Punjab,Bathinda,929,174,130,11,52,1296
2021,April,4,Bihar,Patna,1062,199,149,13,59,1482
2021,April,4,Bihar,Gaya,1008,189,141,12,56,1406
2021,April,4,Bihar,Muzaffarpur,1053,197,148,13,59,1470
2021,April,4,Bihar,Bhagalpur,1181,221,166,14,66,1648
2021,April,4,Bihar,Purnia,1001,187,140,12,56,1396
2021,April,4,Odisha,Bhubaneswar,986,184,138,12,55,1375
2021,April,4,Odisha,Cuttack,851,159,119,10,47,1186
2021,April,4,Odisha,Rourkela,987,185,138,12,55,1377
2021,April,4,Odisha,Sambalpur,1101,206,154,13,61,1535
2021,April,4,Odisha,Berhampur,986,184,138,12,55,1375
2021,April,4,Assam,Guwahati,902,169,126,11,50,1258
2021,April,4,Assam,Silchar,1139,213,160,14,64,1590
2021,April,4,Assam,Dibrugarh,878,164,123,10,49,1224
2021,April,4,Assam,Jorhat,836,156,117,10,47,1166
2021,April,4,Assam,Nagaon,984,184,138,12,55,1373
2021,May,5,Maharashtra,Mumbai,1675,314,235,20,94,2338
2021,May,5,Maharashtra,Pune,2043,383,287,25,114,2852
2021,May,5,Maharashtra,Nagpur,2153,403,302,26,121,3005
2021,May,5,Maharashtra,Nashik,2108,395,296,26,118,2943
2021,May,5,Maharashtra,Aurangabad,2098,393,295,26,118,2930
2021,May,5,Karnataka,Bengaluru,1728,324,243,21,97,2413
2021,May,5,Karnataka,Mysuru,1838,344,258,22,103,2565
2021,May,5,Karnataka,Hubballi,1903,356,267,23,107,2656
2021,May,5,Karnataka,Mangaluru,2146,402,301,26,120,2995
2021,May,5,Karnataka,Belagavi,1605,300,225,20,90,2240
2021,May,5,Tamil Nadu,Chennai,1561,292,219,19,87,2178
2021,May,5,Tamil Nadu,Coimbatore,1613,302,226,20,90,2251
2021,May,5,Tamil Nadu,Madurai,1675,314,235,20,94,2338
2021,May,5,Tamil Nadu,Salem,1527,286,214,19,85,2131
2021,May,5,Tamil Nadu,Tiruchirappalli,1755,329,246,21,98,2449
2021,May,5,Telangana,Hyderabad,1200,225,168,15,67,1675
2021,May,5,Telangana,Warangal,1134,212,159,14,63,1582
2021,May,5,Telangana,Karimnagar,1095,205,153,13,61,1527
2021,May,5,Telangana,Nizamabad,872,163,122,10,49,1216
2021,May,5,Telangana,Khammam,1189,223,167,14,66,1659
2021,May,5,Gujarat,Ahmedabad,1124,210,158,14,63,1569
2021,May,5,Gujarat,Surat,1003,188,141,12,56,1400
2021,May,5,Gujarat,Vadodara,1057,198,148,13,59,1475
2021,May,5,Gujarat,Rajkot,1129,211,158,14,63,1575
2021,May,5,Gujarat,Bhavnagar,1016,190,142,12,57,1417
2021,May,5,Uttar Pradesh,Lucknow,1984,372,279,24,111,2770
2021,May,5,Uttar Pradesh,Kanpur,1912,358,268,23,107,2668
2021,May,5,Uttar Pradesh,Agra,1891,354,265,23,106,2639
2021,May,5,Uttar Pradesh,Varanasi,1880,352,264,23,105,2624
2021,May,5,Uttar Pradesh,Prayagraj,1472,276,207,18,82,2055
2021,May,5,Kerala,Thiruvananthapuram,1219,228,171,15,68,1701
2021,May,5,Kerala,Kochi,1172,219,164,14,65,1634
2021,May,5,Kerala,Kozhikode,1004,188,141,12,56,1401
2021,May,5,Kerala,Thrissur,1120,210,157,14,63,1564
2021,May,5,Kerala,Kollam,1065,199,149,13,59,1485
2021,May,5,Rajasthan,Jaipur,849,159,119,10,47,1184
2021,May,5,Rajasthan,Jodhpur,987,185,138,12,55,1377
2021,May,5,Rajasthan,Udaipur,930,174,130,11,52,1297
2021,May,5,Rajasthan,Kota,1167,218,164,14,65,1628
2021,May,5,Rajasthan,Ajmer,1075,201,151,13,60,1500
2021,May,5,West Bengal,Kolkata,966,181,135,12,54,1348
2021,May,5,West Bengal,Howrah,1238,232,174,15,69,1728
2021,May,5,West Bengal,Siliguri,1210,226,170,15,68,1689
2021,May,5,West Bengal,Durgapur,855,160,120,10,48,1193
2021,May,5,West Bengal,Asansol,1001,187,140,12,56,1396
2021,May,5,Andhra Pradesh,Visakhapatnam,1093,205,153,13,61,1525
2021,May,5,Andhra Pradesh,Vijayawada,1205,226,169,15,67,1682
2021,May,5,Andhra Pradesh,Guntur,1102,206,154,13,61,1536
2021,May,5,Andhra Pradesh,Tirupati,1198,224,168,14,67,1671
2021,May,5,Andhra Pradesh,Kurnool,1051,197,147,13,59,1467
2021,May,5,Madhya Pradesh,Bhopal,850,159,119,10,47,1185
2021,May,5,Madhya Pradesh,Indore,1080,202,151,13,60,1506
2021,May,5,Madhya Pradesh,Jabalpur,959,179,134,11,53,1336
2021,May,5,Madhya Pradesh,Gwalior,961,180,135,12,54,1342
2021,May,5,Madhya Pradesh,Ujjain,1077,202,151,13,60,1503
2021,May,5,Punjab,Ludhiana,915,171,128,11,51,1276
2021,May,5,Punjab,Amritsar,1080,202,152,13,60,1507
2021,May,5,Punjab,Jalandhar,1189,223,167,14,66,1659
2021,May,5,Punjab,Patiala,845,158,118,10,47,1178
2021,May,5,Punjab,Bathinda,1155,216,162,14,65,1612
2021,May,5,Bihar,Patna,1035,194,145,12,58,1444
2021,May,5,Bihar,Gaya,1044,195,146,13,58,1456
2021,May,5,Bihar,Muzaffarpur,958,179,134,11,53,1335
2021,May,5,Bihar,Bhagalpur,1171,219,164,14,65,1633
2021,May,5,Bihar,Purnia,873,163,122,10,49,1217
2021,May,5,Odisha,Bhubaneswar,1038,194,146,12,58,1448
2021,May,5,Odisha,Cuttack,1154,216,162,14,64,1610
2021,May,5,Odisha,Rourkela,892,167,125,11,50,1245
2021,May,5,Odisha,Sambalpur,960,180,135,12,54,1341
2021,May,5,Odisha,Berhampur,1162,217,163,14,65,1621
2021,May,5,Assam,Guwahati,1015,190,142,12,57,1416
2021,May,5,Assam,Silchar,1132,212,159,14,63,1580
2021,May,5,Assam,Dibrugarh,835,156,117,10,47,1165
2021,May,5,Assam,Jorhat,865,162,121,10,48,1206
2021,May,5,Assam,Nagaon,868,162,122,10,48,1210
2021,June,6,Maharashtra,Mumbai,1862,349,261,23,104,2599
2021,June,6,Maharashtra,Pune,2003,375,281,25,112,2796
2021,June,6,Maharashtra,Nagpur,1596,299,224,19,89,2227
2021,June,6,Maharashtra,Nashik,1953,366,274,24,109,2726
2021,June,6,Maharashtra,Aurangabad,1690,316,237,21,95,2359
2021,June,6,Karnataka,Bengaluru,1693,317,238,21,95,2364
2021,June,6,Karnataka,Mysuru,1570,294,220,19,88,2191
2021,June,6,Karnataka,Hubballi,1787,335,251,22,100,2495
2021,June,6,Karnataka,Mangaluru,1534,287,215,19,86,2141
2021,June,6,Karnataka,Belagavi,1502,281,211,18,84,2096
2021,June,6,Tamil Nadu,Chennai,2038,382,286,25,114,2845
2021,June,6,Tamil Nadu,Coimbatore,1958,367,275,24,110,2734
2021,June,6,Tamil Nadu,Madurai,2033,381,285,25,114,2838
2021,June,6,Tamil Nadu,Salem,1531,287,215,19,86,2138
2021,June,6,Tamil Nadu,Tiruchirappalli,1702,319,239,21,95,2376
2021,June,6,Telangana,Hyderabad,865,162,121,10,48,1206
2021,June,6,Telangana,Warangal,1092,204,153,13,61,1523
2021,June,6,Telangana,Karimnagar,1055,197,148,13,59,1472
2021,June,6,Telangana,Nizamabad,1208,226,169,15,67,1685
2021,June,6,Telangana,Khammam,840,157,118,10,47,1172
2021,June,6,Gujarat,Ahmedabad,878,164,123,10,49,1224
2021,June,6,Gujarat,Surat,1091,204,153,13,61,1522
2021,June,6,Gujarat,Vadodara,1137,213,160,14,64,1588
2021,June,6,Gujarat,Rajkot,1064,199,149,13,59,1484
2021,June,6,Gujarat,Bhavnagar,1116,209,156,13,62,1556
2021,June,6,Uttar Pradesh,Lucknow,1910,358,268,23,107,2666
2021,June,6,Uttar Pradesh,Kanpur,1839,344,258,22,103,2566
2021,June,6,Uttar Pradesh,Agra,1755,329,246,21,98,2449
2021,June,6,Uttar Pradesh,Varanasi,1491,279,209,18,83,2080
2021,June,6,Uttar Pradesh,Prayagraj,1616,303,227,20,90,2256
2021,June,6,Kerala,Thiruvananthapuram,919,172,129,11,51,1282
2021,June,6,Kerala,Kochi,1112,208,156,13,62,1551
2021,June,6,Kerala,Kozhikode,1188,222,167,14,66,1657
2021,June,6,Kerala,Thrissur,1020,191,143,12,57,1423
2021,June,6,Kerala,Kollam,1148,215,161,14,64,1602
2021,June,6,Rajasthan,Jaipur,897,168,126,11,50,1252
2021,June,6,Rajasthan,Jodhpur,1115,209,156,13,62,1555
2021,June,6,Rajasthan,Udaipur,1120,210,157,14,63,1564
2021,June,6,Rajasthan,Kota,1189,223,167,14,66,1659
